timestamp,isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance
1698921834.663,False,0.0,0,0,8243
1698921836.139,False,0.0,0,0,8243
1698921837.127,False,0.0,0,0,8243
1698921837.628,False,0.0,0,0,8243
1698921838.619,False,0.0,0,0,8243
1698921840.103,False,0.0,0,0,8243
1698921840.598,False,0.0,0,0,8243
1698921841.579,False,0.0,0,0,8243
1698921842.574,False,0.4140625,0,162,8271
1698921843.564,False,0.9140625,15,160,8279
1698921844.56,False,1.3046875,31,182,8293
1698921845.562,False,1.44140625,46,205,8309
1698921846.535,False,1.52734375,62,211,8327
1698921847.522,False,1.58203125,62,210,8344
1698921848.511,False,1.609375,62,186,8361
1698921849.509,False,1.6640625,61,162,8378
1698921850.493,False,1.69140625,62,157,8396
1698921851.479,False,1.69140625,61,160,8414
1698921852.476,False,1.69140625,61,163,8430
1698921853.471,False,1.6640625,63,166,8445
1698921854.948,False,1.58203125,61,166,8463
1698921856.437,False,1.5546875,62,163,8476
1698921857.424,False,1.63671875,60,159,8505
1698921858.422,False,1.69140625,61,159,8523
1698921859.402,False,1.71875,62,160,8540
1698921861.379,False,1.75,63,163,8558
1698921861.876,False,1.77734375,62,166,8575
1698921862.871,False,1.8046875,63,170,8611
1698921863.857,False,1.77734375,62,171,8630
1698921864.847,False,1.6640625,61,171,8647
1698921865.836,False,1.6640625,61,171,8647
1698921866.825,False,0.0,0,0,8647
1698921867.817,False,0.0,0,0,8647
1698921868.805,False,0.0,0,0,8647
