timestamp,accGGx,accGGy,accGGz
1698744135.384,-0.853,0.432,-0.31
1698744135.464,-0.825,0.522,-0.295
1698744135.544,-0.81,0.569,-0.301
1698744135.624,-0.843,0.605,-0.298
1698744135.704,-0.915,0.678,-0.226
1698744135.784,-0.932,0.636,-0.165
1698744135.864,-0.921,0.553,-0.094
1698744135.944,-0.858,0.48,-0.068
1698744136.024,-0.85,0.464,-0.02
1698744136.104,-0.927,0.623,0.047
1698744136.184,-0.963,0.784,0.126
1698744136.264,-0.943,0.898,0.196
1698744136.344,-0.887,0.986,0.196
1698744136.424,-0.809,1.07,0.132
1698744136.504,-0.689,1.049,0.012
1698744136.584,-0.503,0.931,-0.128
1698744136.664,-0.286,0.908,-0.2
1698744136.744,-0.102,0.896,-0.222
1698744136.825,0.017,0.876,-0.263
1698744136.905,0.099,0.935,-0.282
1698744136.984,0.152,0.983,-0.293
1698744137.066,0.179,0.986,-0.329
1698744137.144,0.209,0.964,-0.373
1698744137.224,0.237,0.938,-0.405
1698744137.306,0.262,0.919,-0.446
1698744137.384,0.27,0.889,-0.485
1698744137.466,0.256,0.846,-0.487
1698744137.544,0.245,0.812,-0.504
1698744137.624,0.24,0.798,-0.522
1698744137.706,0.245,0.79,-0.508
1698744137.784,0.221,0.772,-0.501
1698744137.863,0.199,0.703,-0.465
1698744137.943,0.199,0.651,-0.404
1698744138.024,0.197,0.71,-0.386
1698744138.103,0.223,0.833,-0.409
1698744138.183,0.283,0.987,-0.444
1698744138.264,0.375,1.069,-0.481
1698744138.343,0.492,1.062,-0.503
1698744138.423,0.563,0.959,-0.481
1698744138.504,0.56,0.849,-0.466
1698744138.583,0.576,0.767,-0.485
1698744138.663,0.58,0.706,-0.503
1698744138.744,0.537,0.709,-0.494
1698744138.823,0.511,0.728,-0.487
1698744138.903,0.507,0.737,-0.478
1698744138.984,0.519,0.74,-0.468
1698744139.063,0.537,0.735,-0.445
1698744139.143,0.567,0.708,-0.423
1698744139.224,0.601,0.695,-0.414
1698744139.303,0.638,0.678,-0.404
1698744139.383,0.646,0.656,-0.399
1698744139.463,0.658,0.655,-0.393
1698744139.543,0.667,0.664,-0.385
1698744139.623,0.669,0.673,-0.371
1698744139.703,0.667,0.679,-0.361
1698744139.783,0.662,0.682,-0.357
1698744139.863,0.66,0.663,-0.348
1698744139.943,0.661,0.665,-0.343
1698744140.023,0.656,0.697,-0.344
1698744140.103,0.65,0.705,-0.346
1698744140.184,0.644,0.708,-0.349
1698744140.263,0.635,0.704,-0.348
1698744140.344,0.628,0.701,-0.339
1698744140.423,0.596,0.676,-0.339
1698744140.503,0.556,0.673,-0.333
1698744140.583,0.517,0.673,-0.292
1698744140.663,0.445,0.707,-0.286
1698744140.744,0.371,0.788,-0.347
1698744140.823,0.299,0.882,-0.394
1698744140.906,0.219,0.886,-0.341
1698744140.983,0.165,0.886,-0.081
1698744141.064,-0.104,0.973,0.551
1698744141.145,-0.257,0.857,0.735
1698744141.223,-0.324,0.639,0.768
1698744141.303,-0.374,0.523,0.77
1698744141.383,-0.384,0.507,0.759
1698744141.463,-0.365,0.497,0.738
1698744141.543,-0.35,0.479,0.798
1698744141.623,-0.349,0.473,0.851
1698744141.703,-0.37,0.484,0.828
1698744141.783,-0.388,0.522,0.846
1698744141.863,-0.396,0.665,0.851
1698744141.943,-0.336,0.785,0.787
1698744142.023,-0.203,0.786,0.71
1698744142.103,-0.066,0.734,0.627
1698744142.183,0.05,0.664,0.586
1698744142.263,0.119,0.637,0.661
1698744142.343,0.163,0.625,0.743
1698744142.423,0.21,0.619,0.756
1698744142.503,0.263,0.611,0.762
1698744142.583,0.304,0.588,0.763
1698744142.663,0.338,0.589,0.755
1698744142.743,0.36,0.576,0.711
1698744142.823,0.355,0.607,0.661
1698744142.903,0.354,0.62,0.67
1698744142.983,0.32,0.665,0.819
1698744143.063,0.304,0.674,0.924
1698744143.143,0.327,0.632,0.844
1698744143.223,0.339,0.604,0.807
1698744143.303,0.338,0.577,0.788
1698744143.383,0.342,0.575,0.779
1698744143.463,0.356,0.562,0.784
1698744143.543,0.364,0.551,0.755
1698744143.623,0.375,0.57,0.736
1698744143.703,0.377,0.566,0.79
1698744143.783,0.347,0.528,0.845
1698744143.862,0.351,0.512,0.856
1698744143.943,0.383,0.511,0.825
