timestamp,alpha,beta,gamma,acc,heading
1698411730.006,339.05410872711064,94.3596669297655,30.3861064498562,11.966967582702637,140.85255432128906
1698411730.023,339.0657048001467,94.3550475522793,30.376326145917158,11.966967582702637,140.85255432128906
1698411730.04,339.09723550625387,94.35012332110789,30.343826290843193,11.966967582702637,140.85255432128906
1698411730.056,339.106861409008,94.34669631184369,30.33142235522635,11.966967582702637,140.85255432128906
1698411730.073,339.11871978336796,94.34365431705929,30.31788193366768,11.966967582702637,140.85255432128906
1698411730.089,339.1391708486441,94.33866695893767,30.29495330203679,11.966967582702637,140.85255432128906
1698411730.106,339.16729572866524,94.33501920183171,30.266095235791525,11.966967582702637,140.85255432128906
1698411730.123,339.205781119663,94.33222191372128,30.22603677959748,11.966967582702637,140.85255432128906
1698411730.14,339.2629413984522,94.329301069528,30.166462901909554,11.966967582702637,140.85255432128906
1698411730.156,339.28575834524213,94.3283444586393,30.141987359100714,11.966967582702637,140.85255432128906
1698411730.173,339.29886585907036,94.32833220740721,30.125860784969376,11.966967582702637,140.85255432128906
1698411730.19,339.3948988870202,94.329229703935,30.02703286968959,11.966967582702637,140.85255432128906
1698411730.206,339.4636108811526,94.32793900172553,29.959323610412305,11.966967582702637,140.85255432128906
1698411730.223,339.5346515488274,94.32838168606544,29.889526273391816,11.966967582702637,140.85255432128906
1698411730.24,339.62696688963615,94.33202428169301,29.79886558859564,11.966967582702637,140.85255432128906
1698411730.255,339.6814217004796,94.335586623849,29.74654734726965,11.966967582702637,140.85255432128906
1698411730.273,339.7444587601778,94.33774459739061,29.687388291253743,11.966967582702637,140.85255432128906
1698411730.29,339.84271046792105,94.34093406245017,29.59607414747626,11.966967582702637,140.85255432128906
1698411730.306,339.91851901561927,94.34298695761782,29.523630937729507,11.966967582702637,140.85255432128906
1698411730.323,339.98625764177336,94.34491354866525,29.458129486450712,11.966967582702637,140.85255432128906
1698411730.34,340.08783211864807,94.34979310450134,29.359629992728966,11.966967582702637,140.85255432128906
1698411730.356,340.1617936770094,94.35406661978884,29.287785804168838,11.966967582702637,140.85255432128906
1698411730.373,340.22526418493936,94.35766434453981,29.22780114797017,11.966967582702637,140.85255432128906
1698411730.39,340.33423842452777,94.36111027915231,29.12253617879045,11.966967582702637,140.85255432128906
1698411730.406,340.4047838700193,94.36518454790328,29.053187516310803,11.966967582702637,140.85255432128906
1698411730.423,340.46533677582244,94.367627089609,28.992955482917882,11.966967582702637,140.85255432128906
1698411730.44,340.53384125024076,94.36831308617168,28.925790532612208,11.966967582702637,140.85255432128906
1698411730.456,340.58569709083065,94.36890889128188,28.875631576864524,11.966967582702637,140.85255432128906
1698411730.472,340.6350304841326,94.36947974741018,28.826331173783284,11.966967582702637,140.85255432128906
1698411730.49,340.68124421187235,94.37194127947626,28.77899569839344,11.966967582702637,140.85255432128906
1698411730.507,340.7113276193263,94.37220757637552,28.748778604529488,11.966967582702637,140.85255432128906
1698411730.523,340.7461011223187,94.37296385204438,28.715680786336772,11.966967582702637,140.85255432128906
1698411730.54,340.79033895703043,94.3727208311591,28.673892280786006,11.966967582702637,140.85255432128906
1698411730.557,340.8297822762634,94.37278106638816,28.635544382021916,11.966967582702637,140.85255432128906
1698411730.573,340.8429572240773,94.37147215309805,28.623752500591525,11.966967582702637,140.85255432128906
