timestamp,isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance
1698411735.54,False,0.0,0,0,0
1698411737.026,False,0.0,0,0,0
1698411738.013,False,0.0,0,0,0
1698411739.011,False,0.0,0,0,0
1698411739.997,False,0.0,0,0,0
1698411740.983,False,0.0,0,0,0
1698411741.984,False,0.46875,0,0,0
1698411742.968,False,0.359375,16,0,9
1698411743.952,False,0.359375,16,0,9
1698411744.951,False,0.27734375,26,17,9
1698411745.933,False,0.5546875,37,42,9
1698411746.927,False,0.27734375,50,59,18
1698411748.411,False,0.27734375,50,59,18
1698411749.403,False,0.0,0,0,18
1698411750.398,False,0.0,0,0,18
