timestamp,magnRawx,magnRawy,magnRawz
1698411833.196,-265,392,664
1698411833.273,-275,394,651
1698411833.354,-282,391,662
1698411833.433,-274,412,660
1698411833.513,-272,400,661
1698411833.596,-273,407,653
1698411833.673,-271,405,648
1698411833.754,-259,420,656
1698411833.836,-262,414,658
1698411833.913,-274,407,652
1698411833.996,-258,413,646
1698411834.073,-275,418,648
1698411834.153,-271,420,647
1698411834.235,-264,410,638
1698411834.313,-271,423,642
1698411834.393,-278,423,652
1698411834.473,-281,424,648
1698411834.553,-276,433,655
1698411834.633,-270,440,633
1698411834.713,-270,427,638
1698411834.793,-285,442,635
1698411834.873,-283,441,641
1698411834.953,-283,433,641
1698411835.033,-285,430,633
1698411835.113,-283,437,630
1698411835.193,-300,437,631
1698411835.273,-287,444,631
1698411835.355,-291,446,631
1698411835.433,-291,449,630
