ts(msec),X,Y,Z
1698411814030.25,0.3416748046875,-0.9547119140625,-0.1695556640625
1698411814061.5,0.3397216796875,-0.955078125,-0.16943359375
1698411814092.75,0.3389892578125,-0.9544677734375,-0.16748046875
1698411814124.0,0.3392333984375,-0.9541015625,-0.166259765625
1698411814155.25,0.339599609375,-0.954345703125,-0.1669921875
1698411814186.5,0.3414306640625,-0.955078125,-0.1680908203125
1698411814217.75,0.34228515625,-0.9547119140625,-0.1697998046875
1698411814249.0,0.3427734375,-0.952880859375,-0.1707763671875
1698411814280.25,0.3428955078125,-0.9527587890625,-0.1695556640625
1698411814311.5,0.341796875,-0.9534912109375,-0.168212890625
1698411814342.75,0.3406982421875,-0.9537353515625,-0.168701171875
1698411814374.0,0.3397216796875,-0.9564208984375,-0.16943359375
1698411814405.25,0.3387451171875,-0.9580078125,-0.1688232421875
1698411814436.5,0.33935546875,-0.954833984375,-0.1695556640625
1698411814467.75,0.342041015625,-0.951904296875,-0.1693115234375
1698411814499.0,0.34423828125,-0.95166015625,-0.1680908203125
1698411814530.25,0.3433837890625,-0.95263671875,-0.1673583984375
1698411814561.5,0.34033203125,-0.953369140625,-0.165771484375
1698411814592.75,0.3387451171875,-0.954345703125,-0.165771484375
1698411814624.0,0.3392333984375,-0.9559326171875,-0.1690673828125
1698411814655.25,0.339599609375,-0.9561767578125,-0.1712646484375
1698411814686.5,0.3399658203125,-0.9547119140625,-0.1700439453125
1698411814717.75,0.3406982421875,-0.95361328125,-0.1683349609375
1698411814749.0,0.3414306640625,-0.95361328125,-0.1673583984375
1698411814780.25,0.3416748046875,-0.952880859375,-0.16748046875
1698411814811.5,0.3419189453125,-0.9530029296875,-0.168212890625
1698411814842.75,0.3414306640625,-0.9539794921875,-0.1693115234375
1698411814874.0,0.3402099609375,-0.9549560546875,-0.17041015625
1698411814905.25,0.3402099609375,-0.9556884765625,-0.1693115234375
1698411814936.5,0.3409423828125,-0.9559326171875,-0.1673583984375
1698411814967.75,0.341796875,-0.9549560546875,-0.165283203125
1698411814999.0,0.343017578125,-0.953125,-0.164794921875
1698411815030.25,0.3441162109375,-0.9539794921875,-0.165771484375
