msFromStart,alpha,beta,gamma,heading,acc
174,351.03240152459017,44.740151756833995,21.373421589897877,123.60755920410156,39.81715774536133
189,351.1193454284287,44.29133652489217,20.787398935995252,123.60755920410156,39.81715774536133
205,351.2943922235248,43.707982423939015,20.35392714023572,123.60755920410156,39.81715774536133
222,351.76411957785416,43.3140049399674,20.188747657444875,123.60755920410156,39.81715774536133
239,352.514129821059,42.89949359785871,20.231999932938184,123.60755920410156,39.81715774536133
256,353.840162273729,42.118738578948026,20.392457908771966,122.07488250732422,39.81715774536133
272,354.8259594085462,41.56720810708727,20.416027450862185,120.87653350830078,39.817161560058594
289,355.6394750064219,40.91459342599596,20.2433816882834,120.87653350830078,39.817161560058594
306,356.46533967065403,39.606656678744855,19.67794470631621,120.87653350830078,39.817161560058594
323,357.0411860629663,38.20838541227795,18.924441560191642,120.87653350830078,39.817161560058594
339,357.6169535294808,36.60720287035248,17.97097238246433,120.87653350830078,39.817161560058594
356,357.9610538926,34.52622761856456,17.09168628069338,120.87653350830078,39.817161560058594
372,357.9402594629027,33.26713862822571,16.958370087698498,120.87653350830078,39.817161560058594
391,357.87776604280634,32.40999242326856,17.00659239925688,120.87653350830078,39.817161560058594
405,357.8635485881602,32.093193657273204,16.877107369307698,120.87653350830078,39.817161560058594
422,357.6862901416779,32.6109201488085,16.630329097465,120.87653350830078,39.817161560058594
439,357.38045496857484,33.407789177221964,16.359741601551303,120.87653350830078,39.817161560058594
456,356.78249878088394,34.1439283338788,16.185471336160717,120.87653350830078,39.817161560058594
472,356.21666375357665,34.40041624192189,16.322252430112346,122.2215805053711,39.81715774536133
489,355.3538663791229,34.419906668946425,17.02215049422625,122.2215805053711,39.81715774536133
505,354.78948991469645,34.25839645791657,17.63704233283387,122.2215805053711,39.81715774536133
522,354.2336924924792,34.085359303016595,18.366899644365343,123.3707275390625,39.81715393066406
540,353.1438046842354,34.13929898288876,19.507321727180692,123.3707275390625,39.81715393066406
555,352.0945456925577,34.47569831532063,20.25733891421812,124.82150268554688,39.8171501159668
572,351.02584851223895,34.83600468269676,20.795437042724007,125.90676879882812,39.8171501159668
590,349.64634626155987,35.22085294884134,21.35843524529078,125.90676879882812,39.8171501159668
606,348.72496932793865,35.30562511859798,21.647119733868895,127.0246353149414,39.8171501159668
622,348.04679165126294,35.18157014319459,21.86011988244447,128.07876586914062,39.8171501159668
639,347.73057881655535,34.80888472938422,22.05803595376359,128.07876586914062,39.8171501159668
656,347.71069327092687,34.373374066869154,22.212074551371156,128.07876586914062,39.8171501159668
673,347.89919241906387,33.802555099693095,22.225834530381807,128.07876586914062,39.8171501159668
689,348.50481333310114,32.805099410159535,22.154682044992185,128.07876586914062,39.8171501159668
706,349.3168430851939,31.813052738137227,21.59091249770143,128.07876586914062,39.8171501159668
722,350.1883286943734,30.739854505314064,20.3850789732472,128.07876586914062,39.8171501159668
739,350.36229996955336,29.5857661458861,18.4665728147516,128.07876586914062,39.8171501159668
755,349.73331407238015,29.120070550555287,16.90171919619238,128.07876586914062,39.8171501159668
773,348.804330427259,29.299275657159782,15.191685633747822,130.43357849121094,39.817142486572266
789,348.1762613115201,29.880121561393594,14.237350135752763,130.43357849121094,39.817142486572266
806,347.59817074783126,30.39781131277607,13.272014795452073,131.52854919433594,39.817142486572266
823,346.9408612621714,30.870855785081577,12.058082940970351,132.54588317871094,39.81714630126953
839,346.43540331822766,31.158957712447144,11.255413423136032,132.54588317871094,39.81714630126953
856,345.9070102432176,31.351325418679906,10.621752493649135,134.40243530273438,39.8171501159668
873,345.33189198942165,31.25211491151099,9.922533775569446,134.40243530273438,39.8171501159668
889,345.01796938197776,30.968084998117842,9.431739394300786,134.40243530273438,39.8171501159668
906,344.67049607381347,30.62789277400998,8.818142720037708,135.88572692871094,39.8171501159668
922,343.95681147317805,30.217115710086414,7.64896615230013,135.88572692871094,39.8171501159668
939,343.43363413215275,29.88186208371872,6.142084903118296,137.81845092773438,39.8171501159668
956,343.05358946884695,29.27172903649987,4.5041609467087484,139.02822875976562,39.8171501159668
972,342.9833188674002,28.11689452659102,2.004704558698247,139.02822875976562,39.8171501159668
989,343.1814569724429,27.475592821213002,0.8755203559495212,139.02822875976562,39.8171501159668
1006,343.5419506924926,26.215155771947764,-0.6305137669556009,140.12786865234375,39.8171501159668
1025,343.6164196642542,25.521061200892298,-1.6068663341468112,140.12786865234375,39.8171501159668
1039,343.59543258237187,25.549427156551047,-2.3267321788545137,140.12786865234375,39.8171501159668
1056,343.48406802811917,25.998868814921817,-3.1869964793090357,140.12786865234375,39.8171501159668
1073,343.2301855902102,26.927625939808124,-4.621500408271239,141.2320098876953,39.81715393066406
1089,343.104641743368,27.62575151235291,-5.920079714487055,141.2320098876953,39.81715393066406
1106,343.09891209606525,28.201675526617926,-7.233210476681133,141.2320098876953,39.81715393066406
1122,343.2638396373557,28.66177532525251,-8.709122277913297,142.33033752441406,39.81715774536133
1139,343.42440757015515,28.76885721825458,-9.421714827121988,142.33033752441406,39.81715774536133
1156,343.5425162405599,28.737047921560862,-9.728907659222479,142.33033752441406,39.81715774536133
1172,347.2830307081144,30.619725707035638,-16.998034473403514,140.94981384277344,35.86602020263672
1189,348.2344323949794,30.86667820073224,-18.354336948774627,140.94981384277344,35.86602020263672
1206,348.5751960174646,30.656097450875542,-18.50697232827559,140.94981384277344,35.86602020263672
1222,348.9715241544772,30.200690762963433,-18.87830859703735,139.9482879638672,34.33074188232422
1239,349.2211101913056,29.692305175445227,-19.350404440978263,139.9482879638672,34.33074188232422
