ts,accGx,accGy,accGz
1698418968301.0,-887,444,-210
1698418968381.0,-1110,623,-281
1698418968461.0,-1223,707,-348
1698418968541.0,-1216,641,-370
1698418968621.0,-1214,618,-335
1698418968701.0,-1188,564,-248
1698418968781.0,-1141,498,-120
1698418968861.0,-958,339,29
1698418968941.0,-1034,260,42
1698418969021.0,-1140,250,-4
1698418969101.0,-1160,163,-111
1698418969180.0,-1001,76,-207
1698418969260.0,-809,172,-235
1698418969341.0,-831,353,-244
1698418969420.0,-925,626,-279
1698418969500.0,-967,797,-281
1698418969581.0,-947,859,-246
1698418969660.0,-954,856,-166
1698418969740.0,-995,735,-119
1698418969821.0,-926,565,-124
1698418969900.0,-775,417,-108
1698418969980.0,-698,315,-102
