timestamp,isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance
1698418950.124,False,0.0,0,0,474
1698418951.114,False,0.0,0,0,474
1698418952.606,False,0.0,0,0,474
1698418953.095,False,0.0,0,0,474
1698418954.092,False,0.0,0,0,474
1698418955.082,False,0.0,0,0,474
1698418956.071,False,0.0,0,0,474
1698418957.067,False,0.0,0,0,474
1698418958.052,False,0.0,0,0,474
1698418959.53,False,0.0,0,0,474
1698418960.033,False,1.21875,14,84,474
1698418962.01,True,1.3046875,30,114,486
1698418962.99,False,1.52734375,61,204,525
1698418963.985,False,1.44140625,59,229,545
1698418964.982,False,1.44140625,59,229,545
1698418965.974,False,0.0,0,0,545
1698418966.963,False,0.0,0,0,545
1698418967.95,False,0.0,0,0,545
1698418968.932,False,0.0,0,0,545
1698418969.931,False,0.0,0,0,545
