ts,alpha,beta,gamma
1698672521065.0,-23,283,337
1698672521144.0,-33,300,339
1698672521223.0,-26,288,339
1698672521303.0,-23,287,339
1698672521383.0,-18,280,341
1698672521463.0,-21,284,328
1698672521543.0,-20,284,337
1698672521623.0,-18,277,333
1698672521703.0,-17,280,348
1698672521783.0,-11,283,339
1698672521863.0,-22,295,340
1698672521943.0,-19,295,329
1698672522023.0,-25,290,342
1698672522103.0,-14,299,339
1698672522183.0,-29,286,347
1698672522263.0,-16,297,331
1698672522343.0,-26,289,343
1698672522423.0,-19,290,339
1698672522503.0,-20,285,334
1698672522583.0,-11,279,331
1698672522663.0,-27,291,342
1698672522744.0,-23,292,337
1698672522823.0,-18,283,334
1698672522905.0,-18,287,341
1698672522983.0,-21,278,341
1698672523063.0,-14,290,347
1698672523143.0,-25,294,343
1698672523223.0,-23,284,343
1698672523305.0,-23,285,343
1698672523383.0,-17,283,343
1698672523463.0,-27,285,332
1698672523543.0,-17,286,336
1698672523623.0,-28,279,335
1698672523705.0,-33,278,341
1698672523783.0,-26,280,331
1698672523862.0,-31,277,334
1698672523942.0,-27,271,334
1698672524023.0,-24,285,336
1698672524105.0,-33,274,343
1698672524182.0,-26,279,347
1698672524263.0,-24,270,341
1698672524342.0,-24,292,330
1698672524422.0,-27,280,326
1698672524503.0,-28,278,343
1698672524582.0,-27,280,346
1698672524662.0,-33,287,332
1698672524743.0,-22,289,341
1698672524822.0,-27,280,338
1698672524902.0,-33,268,337
1698672524982.0,-55,262,332
1698672525062.0,-68,252,335
1698672525142.0,-75,256,342
1698672525222.0,-77,269,338
1698672525302.0,-74,281,348
1698672525384.0,-66,275,342
1698672525462.0,-59,261,343
1698672525545.0,-45,259,340
1698672525622.0,-39,280,344
1698672525703.0,-59,266,349
1698672525784.0,-60,270,334
1698672525862.0,-68,280,332
1698672525945.0,-64,282,333
1698672526022.0,-52,285,335
1698672526102.0,-67,276,336
1698672526182.0,-59,270,346
1698672526262.0,-45,272,332
1698672526345.0,-51,285,345
1698672526422.0,-52,274,339
1698672526502.0,-56,274,348
1698672526582.0,-46,288,344
1698672526662.0,-54,265,348
1698672526745.0,-43,269,340
1698672526822.0,-51,264,339
1698672526903.0,-48,255,329
1698672526982.0,-46,253,324
1698672527062.0,-68,242,342
1698672527142.0,-68,258,336
1698672527222.0,-54,245,329
1698672527302.0,-68,246,339
1698672527382.0,-57,255,342
1698672527462.0,-56,266,348
1698672527542.0,-67,264,348
1698672527622.0,-63,262,352
1698672527702.0,-76,275,346
1698672527782.0,-67,271,351
1698672527862.0,-51,276,353
1698672527942.0,-57,274,343
1698672528023.0,-45,259,344
1698672528102.0,-43,255,347
1698672528184.0,-42,263,343
1698672528262.0,-31,270,339
1698672528342.0,-52,259,338
1698672528423.0,-33,249,339
1698672528502.0,-47,260,343
1698672528584.0,-38,257,337
1698672528662.0,-31,260,346
1698672528742.0,-32,259,346
1698672528822.0,-24,267,347
1698672528902.0,-21,253,347
1698672528984.0,-20,254,332
1698672529062.0,-1,237,339
1698672529142.0,14,249,343
1698672529222.0,40,239,338
1698672529302.0,45,221,337
1698672529384.0,50,225,340
1698672529462.0,76,212,335
1698672529542.0,75,236,333
1698672529622.0,72,226,342
1698672529702.0,99,216,341
1698672529782.0,105,219,342
1698672529861.0,113,211,345
1698672529942.0,140,208,353
1698672530022.0,156,234,365
1698672530101.0,178,241,382
1698672530182.0,202,239,386
1698672530261.0,210,265,391
1698672530342.0,221,261,420
1698672530422.0,228,281,415
1698672530501.0,219,289,420
1698672530581.0,189,296,421
1698672530662.0,199,307,432
1698672530741.0,181,318,422
1698672530824.0,177,333,428
1698672530901.0,169,325,425
1698672530981.0,185,331,423
1698672531063.0,183,322,422
1698672531141.0,174,330,435
1698672531224.0,174,332,444
1698672531301.0,184,333,447
1698672531381.0,203,327,456
