ts,alpha,beta,gamma
1698924842037.0,-112,508,297
1698924842117.0,-115,514,293
1698924842197.0,-119,507,286
1698924842277.0,-110,505,296
1698924842357.0,-104,500,290
1698924842437.0,-104,509,295
1698924842517.0,-110,493,282
1698924842597.0,-106,506,293
1698924842677.0,-113,503,280
1698924842757.0,-111,511,294
1698924842837.0,-105,506,292
1698924842917.0,-106,497,276
1698924842997.0,-109,507,289
1698924843077.0,-117,502,289
1698924843157.0,-108,510,288
1698924843237.0,-111,513,289
1698924843317.0,-113,493,288
1698924843397.0,-114,502,290
1698924843478.0,-105,507,287
1698924843557.0,-101,513,286
1698924843637.0,-117,511,278
1698924843717.0,-110,514,286
1698924843797.0,-108,505,290
1698924843878.0,-95,518,284
1698924843957.0,-96,518,287
1698924844041.0,-109,510,276
1698924844117.0,-105,512,278
1698924844198.0,-106,513,288
1698924844279.0,-93,509,279
1698924844357.0,-102,505,286
1698924844440.0,-106,508,282
1698924844517.0,-109,509,286
1698924844598.0,-109,506,286
1698924844677.0,-99,509,279
1698924844757.0,-112,515,273
1698924844840.0,-104,514,278
1698924844917.0,-107,503,285
1698924844997.0,-93,522,277
1698924845077.0,-88,515,285
1698924845157.0,-104,525,277
1698924845240.0,-88,522,278
1698924845317.0,-118,530,289
1698924845397.0,-114,512,291
1698924845477.0,-117,513,279
1698924845557.0,-104,522,284
1698924845637.0,-108,509,299
1698924845717.0,-110,518,292
1698924845797.0,-112,509,285
1698924845877.0,-118,507,290
1698924845957.0,-139,518,308
1698924846037.0,-138,513,337
1698924846117.0,-128,503,365
1698924846197.0,-111,493,418
1698924846277.0,-40,492,441
1698924846357.0,2,509,461
1698924846437.0,15,522,483
1698924846517.0,29,477,490
1698924846597.0,44,456,496
1698924846677.0,111,485,500
1698924846757.0,193,515,502
1698924846837.0,292,605,487
1698924846919.0,351,645,478
1698924846997.0,420,673,456
1698924847079.0,452,675,427
1698924847157.0,416,642,416
1698924847237.0,399,619,399
1698924847319.0,392,626,397
1698924847397.0,385,615,371
1698924847480.0,395,605,384
1698924847557.0,383,607,383
1698924847637.0,370,591,370
1698924847717.0,383,602,370
1698924847796.0,367,605,377
1698924847879.0,384,595,377
1698924847957.0,367,603,366
1698924848036.0,362,610,379
1698924848117.0,379,606,365
1698924848196.0,374,615,378
1698924848279.0,361,605,368
1698924848358.0,354,605,385
1698924848436.0,371,600,377
1698924848516.0,357,595,375
1698924848597.0,376,597,360
1698924848676.0,375,599,377
1698924848756.0,378,589,384
1698924848836.0,376,597,374
1698924848916.0,374,582,370
1698924848996.0,382,599,378
1698924849077.0,379,599,374
1698924849157.0,379,600,382
1698924849236.0,370,604,383
1698924849316.0,370,598,379
1698924849396.0,374,601,382
1698924849476.0,376,599,383
1698924849557.0,364,601,393
1698924849636.0,369,604,388
1698924849719.0,374,594,377
1698924849796.0,368,582,385
1698924849876.0,363,597,381
1698924849958.0,362,595,381
1698924850036.0,361,590,385
1698924850119.0,376,590,388
1698924850196.0,368,600,384
1698924850276.0,374,598,386
1698924850356.0,386,597,393
1698924850436.0,387,605,390
1698924850520.0,382,592,384
1698924850596.0,374,601,385
1698924850676.0,365,601,401
1698924850756.0,379,602,380
1698924850836.0,374,599,390
1698924850918.0,379,589,381
1698924850996.0,369,597,390
1698924851076.0,369,600,384
1698924851156.0,369,605,387
1698924851236.0,386,605,377
1698924851316.0,389,612,372
1698924851396.0,466,639,377
1698924851476.0,621,653,376
1698924851556.0,869,697,428
1698924851636.0,991,719,474
1698924851716.0,993,703,475
1698924851796.0,944,686,472
1698924851876.0,849,659,442
1698924851956.0,832,662,435
1698924852036.0,814,657,426
1698924852116.0,758,599,406
1698924852197.0,761,581,413
1698924852276.0,737,569,416
1698924852358.0,720,567,390
1698924852436.0,637,522,349
1698924852516.0,586,531,335
1698924852597.0,518,555,347
1698924852676.0,395,588,362
1698924852758.0,357,635,356
1698924852836.0,376,637,378
1698924852916.0,386,641,408
1698924852996.0,363,641,397
1698924853076.0,371,646,389
1698924853158.0,357,627,383
1698924853236.0,354,636,400
1698924853316.0,338,636,430
1698924853396.0,340,622,511
1698924853476.0,173,427,528
1698924853558.0,-62,459,463
1698924853636.0,-96,534,427
1698924853716.0,-129,545,402
1698924853795.0,-138,537,376
1698924853876.0,-138,524,334
1698924853956.0,-134,520,329
1698924854035.0,-144,507,325
1698924854116.0,-119,516,318
1698924854195.0,-121,503,315
1698924854275.0,-138,514,312
1698924854356.0,-121,508,306
1698924854435.0,-120,507,314
1698924854515.0,-129,504,308
1698924854596.0,-133,501,307
1698924854675.0,-128,510,313
1698924854755.0,-120,495,306
1698924854837.0,-115,500,314
1698924854915.0,-129,499,310
