ts,alpha,beta,gamma
1698923562045.0,362,743,421
1698923562123.0,358,744,428
1698923562203.0,365,742,421
1698923562283.0,356,728,430
1698923562363.0,361,740,428
1698923562443.0,366,739,430
1698923562523.0,364,739,418
1698923562602.0,358,738,420
1698923562685.0,361,741,430
1698923562762.0,361,736,423
1698923562842.0,358,737,428
1698923562923.0,357,743,436
1698923563002.0,358,738,425
1698923563085.0,368,753,416
1698923563163.0,356,749,423
1698923563242.0,356,743,417
1698923563322.0,347,746,419
1698923563403.0,362,742,422
1698923563482.0,361,736,421
1698923563563.0,357,744,431
1698923563643.0,356,744,421
1698923563725.0,356,749,418
1698923563802.0,362,752,435
1698923563884.0,369,751,422
1698923563962.0,361,747,425
1698923564042.0,376,742,423
1698923564125.0,365,738,422
1698923564202.0,365,738,423
1698923564282.0,360,751,416
1698923564362.0,354,749,411
1698923564442.0,353,753,431
1698923564522.0,364,755,421
1698923564604.0,353,744,421
1698923564682.0,361,748,419
1698923564765.0,366,749,421
1698923564842.0,374,750,420
1698923564922.0,363,738,420
1698923565002.0,370,744,415
1698923565082.0,364,746,415
1698923565162.0,368,738,421
1698923565242.0,372,740,407
1698923565322.0,378,732,409
1698923565402.0,361,723,408
1698923565482.0,376,740,420
1698923565562.0,384,743,411
1698923565644.0,374,741,411
1698923565717.0,370,743,413
1698923565805.0,375,737,403
1698923565882.0,384,740,400
1698923565962.0,398,723,391
1698923566042.0,408,713,390
1698923566122.0,432,705,380
1698923566202.0,435,706,374
1698923566282.0,450,685,380
1698923566362.0,450,681,368
1698923566442.0,434,694,374
1698923566522.0,417,709,379
1698923566602.0,401,741,397
1698923566684.0,348,762,410
1698923566762.0,314,770,431
1698923566844.0,261,783,445
1698923566922.0,228,763,453
1698923567002.0,242,764,439
1698923567082.0,247,762,436
1698923567162.0,302,762,408
1698923567242.0,341,737,387
1698923567322.0,378,705,371
1698923567402.0,421,678,350
1698923567482.0,430,640,324
1698923567563.0,419,625,323
1698923567642.0,421,638,333
1698923567724.0,399,649,357
1698923567802.0,384,667,395
1698923567884.0,328,678,439
1698923567962.0,262,667,465
1698923568042.0,212,673,481
1698923568122.0,166,665,478
1698923568202.0,191,661,483
1698923568282.0,240,668,480
1698923568362.0,312,671,449
1698923568442.0,380,671,389
1698923568524.0,409,626,349
1698923568601.0,416,559,340
1698923568682.0,419,539,343
1698923568764.0,427,570,346
1698923568841.0,416,624,373
1698923568924.0,380,679,404
1698923569001.0,297,727,436
1698923569081.0,219,741,466
1698923569162.0,194,732,470
1698923569241.0,199,728,469
1698923569321.0,264,745,472
1698923569401.0,349,719,446
1698923569481.0,412,679,414
1698923569564.0,455,624,380
1698923569641.0,475,574,377
1698923569722.0,467,529,363
1698923569804.0,479,549,374
1698923569881.0,483,593,394
1698923569964.0,431,659,436
1698923570041.0,347,732,457
1698923570122.0,257,731,492
1698923570201.0,195,691,497
1698923570281.0,173,702,512
1698923570362.0,237,686,506
1698923570441.0,336,682,488
1698923570521.0,413,667,445
1698923570604.0,470,637,406
1698923570681.0,498,569,367
1698923570761.0,500,527,364
1698923570841.0,508,533,371
1698923570921.0,495,571,374
1698923571004.0,492,635,392
1698923571082.0,449,716,425
1698923571161.0,350,747,450
1698923571241.0,276,781,470
1698923571321.0,204,778,483
1698923571401.0,185,763,492
1698923571481.0,205,779,487
1698923571561.0,287,783,473
1698923571644.0,406,755,446
1698923571721.0,492,677,412
1698923571801.0,518,599,378
1698923571881.0,516,547,369
1698923571961.0,522,526,372
1698923572042.0,521,548,377
1698923572121.0,500,605,372
1698923572201.0,462,689,420
1698923572281.0,383,729,440
1698923572361.0,303,754,462
1698923572441.0,240,747,484
1698923572522.0,205,730,478
1698923572601.0,214,740,483
1698923572683.0,262,739,475
1698923572761.0,324,733,442
1698923572841.0,378,706,435
1698923572921.0,457,651,398
1698923573001.0,465,612,402
1698923573091.0,472,577,389
1698923573161.0,486,590,376
1698923573241.0,473,607,368
1698923573321.0,467,663,369
1698923573401.0,441,741,372
1698923573481.0,394,816,381
1698923573562.0,326,865,407
1698923573641.0,296,881,422
1698923573723.0,293,869,432
1698923573815.0,330,866,424
1698923574141.0,374,832,422
1698923574146.0,413,803,420
1698923574471.0,421,816,419
1698923574476.0,402,843,417
1698923574651.0,388,826,426
1698923574657.0,389,819,433
1698923574801.0,397,840,424
1698923574807.0,394,823,423
1698923575461.0,404,822,429
1698923575469.0,398,807,423
1698923575562.0,393,807,432
1698923575641.0,409,811,426
1698923575767.0,412,818,428
1698923575803.0,415,816,434
1698923575915.0,403,826,424
1698923576003.0,402,821,429
1698923576040.0,417,810,433
