ts,alpha,beta,gamma
1698414816545.0,-327,376,544
1698414816624.0,-335,382,554
1698414816705.0,-320,395,550
1698414816784.0,-334,388,550
1698414816864.0,-335,392,552
1698414816945.0,-335,393,554
1698414817024.0,-331,392,547
1698414817104.0,-321,389,551
1698414817184.0,-331,386,543
1698414817264.0,-326,388,544
1698414817344.0,-332,382,555
1698414817424.0,-320,387,552
1698414817504.0,-335,392,545
1698414817584.0,-329,385,541
1698414817664.0,-324,389,559
1698414817744.0,-333,380,552
1698414817824.0,-331,377,545
1698414817904.0,-330,383,552
1698414817984.0,-329,391,550
1698414818064.0,-338,395,551
1698414818144.0,-329,383,542
1698414818226.0,-323,386,548
1698414818304.0,-326,382,542
1698414818388.0,-330,378,555
1698414818464.0,-334,386,555
1698414818544.0,-326,385,550
1698414818626.0,-324,396,551
1698414818704.0,-341,384,550
1698414818787.0,-324,383,549
1698414818864.0,-329,384,548
1698414818944.0,-328,391,545
1698414819026.0,-340,390,546
1698414819104.0,-340,389,545
1698414819187.0,-333,383,546
1698414819264.0,-332,378,550
1698414819344.0,-331,383,545
1698414819426.0,-327,379,563
1698414819504.0,-334,386,538
1698414819587.0,-340,379,552
1698414819664.0,-335,380,553
1698414819744.0,-333,371,550
1698414819824.0,-333,377,544
1698414819904.0,-348,374,547
1698414819986.0,-329,375,536
1698414820064.0,-339,379,549
1698414820145.0,-342,378,544
1698414820226.0,-337,375,545
1698414820304.0,-334,393,542
1698414820386.0,-341,374,539
1698414820464.0,-342,389,543
1698414820544.0,-339,382,549
1698414820624.0,-344,380,543
1698414820704.0,-335,381,539
1698414820787.0,-348,384,545
1698414820864.0,-345,384,546
1698414820944.0,-338,383,551
1698414821024.0,-348,387,549
1698414821104.0,-330,382,545
1698414821187.0,-331,383,544
1698414821264.0,-338,378,545
1698414821344.0,-341,379,542
1698414821424.0,-332,389,547
1698414821504.0,-324,378,536
1698414821586.0,-337,383,543
1698414821664.0,-333,401,553
1698414821744.0,-342,387,545
1698414821824.0,-345,381,542
1698414821904.0,-339,381,551
1698414821986.0,-334,397,543
1698414822064.0,-340,397,550
1698414822144.0,-337,386,534
1698414822224.0,-338,383,544
1698414822304.0,-345,375,550
1698414822386.0,-341,393,539
1698414822464.0,-342,384,541
1698414822543.0,-341,382,554
1698414822624.0,-350,400,544
1698414822703.0,-334,386,554
1698414822787.0,-320,382,550
1698414822864.0,-337,386,552
1698414822943.0,-336,392,542
1698414823023.0,-345,390,545
1698414823104.0,-336,379,547
1698414823186.0,-347,384,540
1698414823263.0,-345,391,543
1698414823344.0,-339,381,542
1698414823423.0,-336,386,538
1698414823503.0,-342,385,545
1698414823586.0,-351,384,550
1698414823663.0,-346,381,544
1698414823743.0,-336,390,547
1698414823824.0,-338,391,554
1698414823903.0,-339,383,546
1698414823983.0,-336,387,542
1698414824064.0,-338,385,545
1698414824143.0,-341,391,545
1698414824223.0,-348,397,543
1698414824304.0,-335,382,548
1698414824383.0,-338,392,554
1698414824463.0,-348,382,551
1698414824543.0,-340,391,552
1698414824623.0,-352,388,546
1698414824703.0,-337,381,546
1698414824787.0,-341,372,548
1698414824863.0,-352,382,539
1698414824943.0,-354,379,540
1698414825023.0,-349,384,538
1698414825103.0,-344,379,525
1698414825183.0,-341,389,517
1698414825263.0,-334,393,486
1698414825343.0,-344,380,460
1698414825423.0,-322,369,466
1698414825503.0,-320,388,478
1698414825583.0,-326,380,480
1698414825663.0,-327,376,488
1698414825743.0,-345,372,505
1698414825823.0,-363,357,515
1698414825903.0,-367,361,537
1698414825983.0,-368,361,521
1698414826063.0,-355,378,502
1698414826143.0,-337,379,493
1698414826223.0,-324,378,465
1698414826303.0,-316,380,458
1698414826383.0,-324,391,467
1698414826463.0,-325,385,468
1698414826543.0,-336,383,454
1698414826623.0,-338,384,463
1698414826703.0,-347,387,481
1698414826783.0,-344,367,470
1698414826863.0,-331,391,463
1698414826943.0,-334,372,466
1698414827023.0,-325,374,477
1698414827103.0,-323,365,477
1698414827184.0,-331,362,475
1698414827264.0,-332,375,477
1698414827343.0,-350,373,497
1698414827423.0,-356,380,504
1698414827503.0,-368,365,521
1698414827583.0,-370,353,535
1698414827664.0,-372,363,517
1698414827743.0,-353,346,522
1698414827825.0,-343,360,507
1698414827903.0,-351,366,500
1698414827983.0,-341,379,496
1698414828064.0,-347,373,494
1698414828143.0,-350,369,490
1698414828225.0,-336,375,474
1698414828303.0,-346,362,491
1698414828383.0,-351,370,481
1698414828464.0,-351,364,485
1698414828542.0,-345,370,476
1698414828625.0,-329,369,471
1698414828702.0,-333,362,482
1698414828782.0,-321,377,466
1698414828864.0,-322,379,468
1698414828942.0,-338,364,483
1698414829025.0,-338,365,493
1698414829103.0,-357,371,497
1698414829182.0,-365,364,511
1698414829264.0,-370,356,535
1698414829343.0,-359,366,523
1698414829425.0,-358,356,503
1698414829502.0,-340,367,508
1698414829583.0,-334,371,472
1698414829664.0,-336,360,470
1698414829742.0,-334,363,472
1698414829825.0,-345,375,479
1698414829902.0,-358,377,487
1698414829982.0,-353,366,480
1698414830065.0,-357,371,487
1698414830142.0,-365,370,486
1698414830225.0,-359,377,487
1698414830302.0,-351,376,485
1698414830382.0,-334,367,477
1698414830462.0,-337,378,462
1698414830543.0,-325,373,469
1698414830625.0,-333,357,469
1698414830702.0,-328,369,500
1698414830782.0,-361,374,500
1698414830862.0,-366,362,519
1698414830942.0,-369,361,529
1698414831025.0,-365,360,530
1698414831102.0,-366,367,503
1698414831182.0,-351,354,497
1698414831262.0,-357,366,491
1698414831342.0,-342,366,480
1698414831425.0,-350,375,474
1698414831502.0,-357,372,483
1698414831582.0,-345,361,483
1698414831662.0,-348,359,469
1698414831742.0,-357,364,474
1698414831825.0,-359,367,471
1698414831902.0,-346,373,472
1698414831982.0,-340,361,470
1698414832062.0,-339,371,465
1698414832142.0,-331,360,472
1698414832225.0,-341,369,467
1698414832302.0,-346,359,480
1698414832382.0,-351,354,502
1698414832462.0,-364,351,521
1698414832542.0,-383,335,538
1698414832624.0,-365,334,531
1698414832702.0,-364,342,518
1698414832782.0,-352,356,501
1698414832862.0,-340,356,481
1698414832942.0,-343,357,467
1698414833025.0,-343,352,474
1698414833102.0,-342,356,483
1698414833182.0,-359,367,476
1698414833262.0,-353,368,475
1698414833342.0,-353,368,471
1698414833424.0,-353,369,478
1698414833502.0,-353,354,479
1698414833582.0,-344,355,469
1698414833662.0,-342,369,475
1698414833742.0,-337,364,475
1698414833822.0,-344,360,492
1698414833902.0,-355,353,498
1698414833982.0,-371,350,521
1698414834062.0,-389,324,521
1698414834142.0,-376,319,545
1698414834222.0,-376,340,530
1698414834302.0,-378,349,518
1698414834382.0,-362,345,508
1698414834462.0,-356,348,497
1698414834542.0,-362,355,485
1698414834624.0,-358,356,485
1698414834701.0,-368,365,483
1698414834781.0,-355,374,485
1698414834862.0,-363,361,485
1698414834942.0,-354,367,485
1698414835021.0,-345,357,484
1698414835102.0,-359,371,478
1698414835181.0,-341,353,475
1698414835261.0,-338,367,461
1698414835342.0,-341,364,476
1698414835421.0,-338,363,478
1698414835501.0,-347,357,491
1698414835582.0,-358,354,500
1698414835661.0,-361,343,506
1698414835741.0,-370,338,527
1698414835822.0,-366,339,521
1698414835901.0,-361,341,507
1698414835981.0,-340,359,504
1698414836061.0,-361,369,485
1698414836141.0,-341,367,468
1698414836221.0,-351,367,470
1698414836301.0,-351,371,470
1698414836381.0,-349,364,478
1698414836461.0,-347,364,473
1698414836542.0,-362,365,469
1698414836621.0,-358,368,479
1698414836701.0,-351,366,471
1698414836781.0,-354,361,478
1698414836861.0,-369,353,462
1698414836941.0,-349,353,473
1698414837021.0,-343,353,481
1698414837101.0,-348,358,475
1698414837181.0,-354,357,500
1698414837261.0,-379,343,524
1698414837341.0,-372,329,534
1698414837421.0,-380,338,535
1698414837503.0,-373,339,520
1698414837581.0,-376,344,501
1698414837661.0,-354,355,482
1698414837741.0,-339,358,463
1698414837821.0,-339,363,463
1698414837901.0,-347,356,479
1698414837981.0,-366,369,478
1698414838061.0,-350,363,473
1698414838141.0,-360,356,489
1698414838221.0,-365,365,499
1698414838302.0,-366,357,492
1698414838381.0,-362,356,493
1698414838461.0,-357,348,473
1698414838541.0,-342,358,470
1698414838621.0,-344,360,474
1698414838702.0,-344,363,470
1698414838781.0,-331,361,482
1698414838863.0,-364,356,496
1698414838941.0,-373,345,513
1698414839021.0,-377,342,525
1698414839102.0,-377,330,529
1698414839181.0,-374,332,515
1698414839262.0,-368,346,501
1698414839341.0,-358,352,491
1698414839421.0,-356,359,478
1698414839503.0,-349,361,480
1698414839581.0,-352,348,477
1698414839664.0,-360,362,480
