timestamp,alpha,beta,gamma,heading,acc
1698414820.172,352.24058719784307,39.9282201555274,21.236272249412984,102.7581787109375,41.9931526184082
1698414820.188,352.35181702399973,39.87950658559917,21.192682264274758,102.7581787109375,41.9931526184082
1698414820.206,352.41576242338226,39.93119142532509,21.17473888206897,102.7581787109375,41.9931526184082
1698414820.223,352.4330961549491,40.000255704347175,21.1374671021303,102.7581787109375,41.9931526184082
1698414820.238,352.45341858135595,40.057297069899654,21.064900983151286,102.7581787109375,41.9931526184082
1698414820.255,353.2546166771645,38.53925597013184,19.811379100289514,102.7581787109375,41.9931526184082
1698414820.272,353.06407517852625,38.85442365916807,20.119020870980975,102.7581787109375,41.9931526184082
1698414820.288,353.08158747103806,38.89032130696992,19.997608119714016,102.7581787109375,41.9931526184082
1698414820.305,352.98809521690293,39.07297210377708,19.91575113549853,102.7581787109375,41.9931526184082
1698414820.324,352.8580450837046,39.261897867450905,19.988068891243156,102.7581787109375,41.9931526184082
1698414820.338,352.8707760441584,39.332626813854695,19.885199250627764,102.7581787109375,41.9931526184082
1698414820.358,352.99749339412716,39.371006085924485,19.578338138372455,102.7581787109375,41.9931526184082
1698414820.372,353.02066179926624,39.39487859063434,19.484769886362653,102.7581787109375,41.9931526184082
1698414820.389,353.00255300581074,39.362973210574786,19.510875398542822,102.7581787109375,41.9931526184082
1698414820.408,352.9198792319309,39.38285442860316,19.62866351126042,102.7581787109375,41.9931526184082
1698414820.422,352.8386203887456,39.41505393004995,19.640669184519478,102.7581787109375,41.9931526184082
1698414820.439,352.75370135932326,39.45958639081952,19.590043649337517,102.7581787109375,41.9931526184082
1698414820.456,352.65111797487805,39.51292055118405,19.546385073163037,102.7581787109375,41.9931526184082
1698414820.473,352.6700134240398,39.468860881212244,19.43797501026117,102.7581787109375,41.9931526184082
1698414820.489,352.71660453051055,39.41165274978297,19.328782732873997,102.7581787109375,41.9931526184082
1698414820.505,352.7138596647027,39.36625986170792,19.307776322676652,102.7581787109375,41.9931526184082
1698414820.522,352.6377500916426,39.36040733306094,19.321077573665345,102.7581787109375,41.9931526184082
