timestamp,hr,conf
1698414819.189,0,50
1698414820.085,0,9
1698414820.952,0,21
1698414821.852,0,25
1698414822.753,0,68
1698414823.62,0,45
1698414824.52,0,47
1698414825.454,0,32
1698414826.321,0,22
1698414827.266,0,36
1698414829.828,91,36
1698414830.69,92,0
1698414835.192,92,30
1698414836.093,90,66
1698414836.993,90,92
1698414837.793,92,91
1698414838.66,92,87
1698414839.527,92,30
1698414840.361,91,70
1698414841.195,93,92
1698414842.095,95,88
1698414842.995,95,76
1698414843.862,98,84
1698414844.796,98,88
1698414845.665,98,84
1698414846.563,98,18
1698414847.53,98,77
1698414848.364,98,81
1698414849.264,98,85
1698414850.142,95,87
1698414851.032,95,63
1698414851.865,95,82
1698414852.732,95,96
1698414853.566,95,82
1698414854.399,101,79
1698414855.3,100,94
1698414856.233,100,91
1698414857.103,100,63
1698414858.0,100,55
