ms,x,y,z
1698414834539.0,533,1097,567
1698414834619.0,596,1197,595
1698414834699.0,610,1145,487
1698414834779.0,643,1063,314
1698414834859.0,644,988,195
1698414834939.0,627,932,172
1698414835019.0,637,907,169
1698414835099.0,628,904,249
1698414835179.0,545,932,452
1698414835259.0,452,1075,697
1698414835339.0,451,1202,807
1698414835419.0,475,1143,746
1698414835499.0,408,706,408
1698414835579.0,316,591,266
1698414835659.0,275,475,184
1698414835739.0,220,411,134
1698414835819.0,240,419,131
1698414835899.0,278,419,155
1698414835979.0,268,492,230
1698414836059.0,284,668,380
1698414836139.0,370,950,544
1698414836219.0,452,1188,659
1698414836299.0,492,1206,689
1698414836379.0,539,1115,531
1698414836459.0,594,1066,319
1698414836539.0,604,989,208
1698414836618.0,615,936,141
1698414836698.0,669,949,190
1698414836779.0,591,935,341
1698414836858.0,477,1058,588
1698414836938.0,515,1287,805
1698414837019.0,521,1273,801
1698414837098.0,437,1022,640
1698414837178.0,342,774,433
1698414837259.0,206,318,168
1698414837338.0,220,360,96
1698414837418.0,281,422,94
1698414837500.0,263,407,132
1698414837578.0,244,435,198
1698414837658.0,303,671,401
1698414837739.0,430,1018,609
1698414837818.0,598,1238,690
1698414837899.0,641,1270,695
1698414837978.0,632,1189,528
1698414838058.0,665,1068,295
1698414838138.0,641,942,141
1698414838219.0,591,850,58
1698414838299.0,543,777,67
1698414838378.0,558,802,84
1698414838458.0,592,942,253
1698414838538.0,545,1129,554
1698414838618.0,516,1265,755
1698414838699.0,522,1276,769
1698414838778.0,448,1111,657
1698414838861.0,365,860,476
1698414838938.0,316,603,288
1698414839018.0,241,362,153
1698414839099.0,277,433,105
1698414839178.0,271,452,89
1698414839259.0,232,449,164
1698414839338.0,261,569,282
1698414839418.0,380,875,459
1698414839500.0,487,1168,637
1698414839578.0,542,1305,721
1698414839661.0,593,1232,592
1698414839738.0,660,1061,324
1698414839818.0,626,940,149
1698414839900.0,546,871,75
1698414839978.0,557,848,45
1698414840060.0,588,829,30
1698414840138.0,597,843,16
1698414840218.0,632,940,113
1698414840300.0,627,1119,401
1698414840378.0,560,1238,658
1698414840460.0,536,1262,760
1698414840538.0,476,1093,698
1698414840618.0,415,809,465
1698414840700.0,385,593,252
1698414840778.0,292,354,36
1698414840861.0,243,293,21
1698414840938.0,238,311,69
1698414841018.0,287,427,167
1698414841100.0,405,760,324
1698414841178.0,548,1084,469
1698414841258.0,649,1136,477
1698414841338.0,780,1148,373
1698414841418.0,791,1013,219
1698414841498.0,666,868,119
1698414841578.0,644,894,112
1698414841658.0,631,846,118
1698414841738.0,597,802,111
1698414841818.0,626,868,176
1698414841898.0,620,954,351
1698414841978.0,510,1058,611
1698414842058.0,468,1165,783
1698414842138.0,515,1174,787
1698414842218.0,458,1042,694
1698414842298.0,343,812,552
1698414842377.0,282,611,433
1698414842458.0,272,504,318
1698414842617.0,307,461,146
1698414842697.0,291,406,126
1698414842778.0,275,464,225
1698414842857.0,386,737,413
1698414842937.0,534,1080,618
1698414843018.0,548,1211,731
1698414843097.0,600,1233,606
1698414843177.0,653,1173,419
1698414843258.0,604,1020,256
1698414843337.0,584,929,149
1698414843417.0,594,852,138
1698414843498.0,594,833,148
1698414843577.0,598,953,249
1698414843657.0,571,1172,535
1698414843738.0,551,1286,750
1698414843817.0,555,1261,763
1698414843897.0,481,1059,637
1698414843977.0,383,719,417
1698414844057.0,276,434,262
1698414844137.0,211,295,161
1698414844217.0,286,350,100
1698414844297.0,289,352,106
1698414844377.0,298,475,161
1698414844457.0,430,711,334
1698414844537.0,561,1021,521
1698414844617.0,620,1221,614
1698414844697.0,650,1190,573
1698414844777.0,679,1106,396
1698414844857.0,677,989,199
1698414844937.0,638,860,96
1698414845018.0,607,789,64
1698414845097.0,603,767,51
1698414845177.0,613,818,82
1698414845257.0,641,919,230
1698414845337.0,624,1077,529
1698414845417.0,601,1242,749
1698414845497.0,594,1272,766
1698414845577.0,530,1106,660
1698414845657.0,436,847,483
1698414845737.0,341,608,314
1698414845817.0,265,402,191
1698414845897.0,249,305,116
1698414845977.0,269,347,91
1698414846057.0,255,439,163
1698414846137.0,304,595,270
1698414846217.0,425,864,476
1698414846298.0,532,1084,653
1698414846377.0,592,1229,726
1698414846457.0,592,1207,687
1698414846537.0,617,1057,447
1698414846617.0,648,962,226
1698414846697.0,614,840,117
1698414846777.0,600,762,49
1698414846857.0,622,784,61
1698414846937.0,658,815,138
1698414847017.0,671,860,264
1698414847097.0,625,984,486
1698414847177.0,589,1182,729
1698414847257.0,596,1279,809
1698414847337.0,542,1151,741
1698414847417.0,423,902,550
1698414847497.0,373,690,367
1698414847577.0,331,504,252
1698414847657.0,261,375,175
1698414847737.0,261,379,138
1698414847817.0,305,423,156
1698414847897.0,297,467,197
1698414847977.0,398,680,321
1698414848057.0,534,977,488
1698414848137.0,619,1201,615
1698414848216.0,652,1216,609
1698414848297.0,689,1113,397
1698414848376.0,670,996,193
1698414848457.0,636,868,140
1698414848536.0,660,829,108
1698414848616.0,688,856,127
1698414848696.0,691,914,231
1698414848776.0,652,1059,460
1698414848856.0,654,1230,638
1698414848936.0,665,1246,619
1698414849016.0,573,1057,498
1698414849096.0,441,779,356
1698414849176.0,355,555,250
1698414849256.0,293,403,170
1698414849336.0,280,363,108
1698414849416.0,327,445,108
1698414849496.0,329,485,139
1698414849576.0,311,523,243
1698414849656.0,472,824,426
1698414849737.0,611,1132,621
1698414849817.0,640,1171,635
1698414849896.0,681,1134,527
1698414849976.0,738,1058,355
1698414850056.0,712,908,135
1698414850137.0,640,803,60
1698414850216.0,615,764,82
1698414850296.0,649,777,98
1698414850376.0,672,865,197
1698414850456.0,633,988,432
1698414850537.0,598,1128,650
1698414850616.0,622,1246,698
1698414850697.0,602,1163,635
1698414850776.0,519,986,533
1698414850856.0,417,767,392
1698414850937.0,321,532,252
1698414851016.0,265,373,163
1698414851099.0,271,346,107
1698414851176.0,287,397,116
1698414851256.0,308,460,177
1698414851337.0,430,656,324
1698414851416.0,559,982,527
1698414851499.0,608,1190,696
1698414851576.0,612,1179,714
1698414851656.0,621,1063,542
1698414851737.0,633,963,354
1698414851816.0,618,899,241
1698414851897.0,585,822,149
1698414851976.0,602,796,111
1698414852056.0,674,878,169
1698414852137.0,663,962,319
1698414852216.0,571,1055,525
1698414852298.0,589,1207,676
1698414852376.0,660,1254,694
1698414852456.0,570,1068,593
1698414852537.0,450,814,431
1698414852616.0,361,611,304
1698414852698.0,246,433,225
1698414852776.0,193,332,167
1698414852856.0,238,366,158
1698414852938.0,320,516,266
1698414853016.0,330,566,321
1698414853099.0,436,729,453
1698414853176.0,589,1026,597
1698414853256.0,673,1190,645
1698414853338.0,719,1245,547
1698414853416.0,738,1160,373
1698414853496.0,703,920,171
1698414853576.0,663,820,53
1698414853656.0,643,783,30
1698414853738.0,649,759,36
1698414853816.0,716,828,64
1698414853899.0,761,950,169
1698414853976.0,702,1102,423
1698414854056.0,679,1223,615
1698414854138.0,676,1217,627
1698414854215.0,577,1037,558
1698414854296.0,498,763,353
1698414854376.0,411,493,168
1698414854455.0,278,290,97
1698414854535.0,228,263,48
1698414854615.0,250,337,141
1698414854695.0,344,533,217
1698414854775.0,494,824,373
1698414854856.0,614,1073,526
1698414854935.0,652,1208,601
1698414855015.0,677,1166,503
1698414855095.0,706,1035,321
1698414855175.0,685,927,187
1698414855255.0,665,836,122
1698414855335.0,658,782,96
1698414855415.0,648,778,97
1698414855495.0,675,850,179
1698414855575.0,793,1029,366
1698414855655.0,782,1158,553
1698414855735.0,666,1113,594
1698414855815.0,600,988,563
1698414855895.0,459,842,539
1698414855975.0,341,652,479
1698414856055.0,253,497,336
1698414856135.0,257,541,293
1698414856215.0,377,651,384
1698414856295.0,435,706,381
1698414856375.0,372,632,304
1698414856455.0,299,576,348
1698414856535.0,300,630,444
1698414856615.0,347,716,529
1698414856695.0,379,783,574
1698414856775.0,383,883,604
1698414856855.0,391,969,645
1698414856935.0,409,995,646
1698414857015.0,425,989,590
1698414857095.0,454,978,511
1698414857175.0,500,945,408
1698414857255.0,527,907,321
1698414857335.0,540,893,280
1698414857416.0,536,889,213
1698414857495.0,520,860,168
1698414857575.0,528,831,187
1698414857655.0,551,823,196
1698414857735.0,570,816,184
1698414857815.0,573,831,179
1698414857895.0,571,848,190
1698414857975.0,571,853,193
1698414858055.0,584,861,178
1698414858135.0,585,852,176
1698414858215.0,581,836,173
1698414858295.0,586,835,169
