timestamp,isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance
1698414816.421,False,0,0,0,38
1698414816.926,False,0,0,0,38
1698414817.908,False,0,0,0,38
1698414818.896,False,0,0,0,38
1698414819.893,False,0,0,0,38
1698414820.876,False,0,0,0,38
1698414821.865,False,0,0,0,38
1698414822.856,False,0,0,0,38
1698414823.852,False,0,0,0,38
1698414824.836,False,0,0,0,38
1698414825.831,False,0,0,0,38
1698414827.805,False,0,0,0,38
1698414828.303,False,0,0,0,38
1698414829.784,False,0,0,0,38
1698414830.28,False,0,0,0,38
1698414832.757,False,0,0,0,38
1698414832.762,False,0,0,0,38
1698414834.241,False,0,0,0,38
1698414835.229,False,0,0,0,38
1698414837.21,False,0,0,0,38
1698414837.212,False,0,0,0,38
1698414838.203,False,0,0,0,38
1698414839.197,False,0,0,0,38
1698414840.186,False,0,0,0,38
1698414841.67,False,0,0,0,38
1698414842.166,False,0,0,0,38
1698414843.156,False,0,0,0,38
1698414844.64,False,0,0,0,38
1698414846.121,False,0,0,0,38
1698414847.109,False,0,0,0,38
1698414850.082,False,0,0,0,38
1698414851.574,False,0,0,0,38
1698414852.073,False,0,0,0,38
1698414853.547,False,0,0,0,38
1698414854.046,False,0,0,0,38
1698414855.031,False,0,0,0,38
1698414856.028,False,0,0,0,38
1698414857.017,False,0,0,0,38
1698414858.005,False,0,0,0,38
1698414859.981,False,0,0,0,38
1698414859.982,False,0,0,0,38
1698414860.971,False,0,0,0,38
1698414861.968,False,0,0,0,38
1698414863.446,False,0,0,0,38
1698414863.947,False,0,0,0,38
