isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance,ts
False,0.0,0,0,4086,1698674840721.0
False,0.0,0,0,4086,1698674841233.0
False,0.0,0,0,4086,1698674842208.0
False,0.0,0,0,4086,1698674843693.0
False,0.0,0,0,4086,1698674844189.0
False,0.0,0,0,4086,1698674845180.0
False,0.0,0,0,4086,1698674847158.0
False,0.0,0,0,4086,1698674847158.0
False,0.0,0,0,4086,1698674848150.0
False,1.359375,16,152,4107,1698674850638.0
False,1.69140625,34,184,4118,1698674850639.0
False,2.08203125,53,216,4134,1698674851122.0
False,2.25,80,254,4168,1698674852115.0
False,2.25,83,222,4186,1698674853105.0
False,2.25,83,222,4186,1698674854091.0
False,0.0,0,0,4186,1698674855076.0
False,0.0,0,0,4186,1698674856066.0
