timestamp,accGGx,accGGy,accGGz
1698672533.778,-0.25,0.712,0.621
1698672533.861,-0.25,0.702,0.606
1698672533.938,-0.244,0.677,0.6
1698672534.018,-0.248,0.653,0.644
1698672534.1,-0.245,0.654,0.702
1698672534.178,-0.231,0.632,0.714
1698672534.261,-0.232,0.683,0.727
1698672534.338,-0.224,0.728,0.749
1698672534.418,-0.202,0.771,0.803
1698672534.498,-0.187,0.871,0.896
1698672534.578,-0.148,0.933,0.892
1698672534.658,0.068,0.837,0.684
1698672534.738,0.28,0.848,0.539
1698672534.818,0.441,0.761,0.481
1698672534.898,0.521,0.711,0.507
1698672534.978,0.506,0.719,0.588
1698672535.058,0.463,0.711,0.611
1698672535.138,0.461,0.723,0.569
1698672535.218,0.457,0.717,0.561
1698672535.298,0.447,0.717,0.549
1698672535.378,0.436,0.751,0.558
1698672535.458,0.425,0.759,0.578
1698672535.538,0.438,0.764,0.546
1698672535.618,0.432,0.774,0.537
1698672535.698,0.391,0.755,0.568
1698672535.778,0.378,0.754,0.577
1698672535.858,0.375,0.766,0.584
1698672535.938,0.363,0.784,0.565
1698672536.018,0.358,0.794,0.571
1698672536.098,0.302,0.78,0.678
1698672536.178,0.267,0.772,0.71
1698672536.258,0.306,0.761,0.649
1698672536.338,0.321,0.75,0.615
1698672536.418,0.309,0.745,0.614
1698672536.501,0.294,0.74,0.599
1698672536.578,0.244,0.761,0.622
1698672536.658,0.224,0.771,0.65
1698672536.739,0.263,0.761,0.651
1698672536.818,0.292,0.756,0.659
1698672536.9,0.293,0.755,0.654
1698672536.978,0.278,0.759,0.65
