ts,alpha,beta,gamma,acc,heading
1698923805186.0,358.80200324989545,13.159400278104568,10.358288001250422,-1.0,
1698923805202.0,358.8508520205385,13.146727857044645,10.291715435255067,39.99025344848633,124.79741668701172
1698923805219.0,358.9083555426407,13.115983687030747,10.213087439960143,39.99025344848633,124.79741668701172
1698923805236.0,358.9995382623418,13.058713470158441,10.054656191716909,39.99025344848633,124.79741668701172
1698923805252.0,359.0495896422112,12.973496647028167,9.858652211315485,39.99025344848633,124.79741668701172
1698923805269.0,359.07054745328753,12.840982931208238,9.585136667985816,39.99025344848633,124.79741668701172
1698923805285.0,358.7900391688104,13.527001254627635,10.417410389613353,39.99025344848633,124.79741668701172
1698923805303.0,358.7035007278029,13.550453775398937,10.563212335026721,39.99025344848633,124.79741668701172
1698923805319.0,358.748326134123,13.524709788962133,10.342305173922895,39.99025344848633,124.79741668701172
1698923805335.0,358.81789271615685,13.396685517958629,10.129826014754403,39.99025344848633,124.79741668701172
1698923805353.0,358.8792705072002,13.227687654163818,9.870755048550476,39.99025344848633,124.79741668701172
1698923805369.0,358.89288158056956,13.135301169068835,9.58843432212687,39.99025344848633,124.79741668701172
1698923805386.0,358.8016646088361,12.953851844762461,9.251947874500228,39.99025344848633,124.79741668701172
1698923805403.0,358.71782335729614,12.85447132863176,9.139024043801028,39.99025344848633,124.79741668701172
1698923805420.0,358.7046195415664,12.758890515651704,9.147193058854088,39.99025344848633,124.79741668701172
1698923805436.0,358.7688873157565,12.696811359581227,9.236551879940558,39.99025344848633,124.79741668701172
1698923805453.0,358.9017403067733,12.612631734447987,9.234994117709096,39.99025344848633,124.79741668701172
1698923805470.0,359.1021866087992,12.503563899816553,9.177100170406934,39.99025344848633,124.79741668701172
1698923805486.0,359.2160927935554,12.423956116390443,9.201272527373222,39.99025344848633,124.79741668701172
1698923805504.0,359.36730677418024,12.307825904315475,9.159728445887515,39.99025344848633,124.79741668701172
1698923805520.0,359.5038828105087,12.07607034305671,9.053169523682481,39.99025344848633,124.79741668701172
1698923805536.0,359.64964047723595,11.614941508432763,8.968345751770157,39.99025344848633,124.79741668701172
1698923805553.0,359.83337284180163,11.065321251501445,8.85618645552223,39.99025344848633,124.79741668701172
1698923805569.0,359.925801180954,10.761845966730437,8.787100649933807,39.99025344848633,124.79741668701172
1698923805587.0,359.9694445108182,10.5386517791482,8.731483416395127,39.99025344848633,124.79741668701172
1698923805603.0,359.9789301585705,10.307136134275577,8.65686883396447,39.99025344848633,124.79741668701172
1698923805619.0,359.9737464801532,10.184597043458918,8.606609947738685,39.99025344848633,124.79741668701172
1698923805636.0,359.93721166724094,10.136101512132594,8.609823958977275,39.99025344848633,124.79741668701172
1698923805653.0,359.81539215048196,10.214692060856374,8.739990349608876,39.99025344848633,124.79741668701172
1698923805670.0,359.70415458673824,10.363594853515938,8.920202238478861,39.99025344848633,124.79741668701172
1698923805686.0,359.6169821772337,10.505249869739957,9.125729443183225,39.99025344848633,124.79741668701172
1698923805703.0,359.53879925952185,10.636027506259476,9.289198365763399,39.99025344848633,124.79741668701172
1698923805720.0,359.4731445975032,10.723274440842586,9.249530995920603,39.99025344848633,124.79741668701172
1698923805736.0,359.37906055821924,10.716194608912886,9.230400197063695,39.99025344848633,124.79741668701172
1698923805753.0,359.29632253885245,11.007328102067165,8.883189205875837,39.99025344848633,124.79741668701172
1698923805770.0,359.2204681887003,11.27560950855823,8.657028822589005,39.99025344848633,124.79741668701172
1698923805786.0,359.06453148901744,11.428442089342804,8.606869105352025,39.99025344848633,124.79741668701172
