msFromStart,interval,accx,accy,accz,accGx,accGy,accGz,rotRate_alpha,rotRate_beta,rotRate_gamma
3,0.01666666753590107,0.19112057428155094,0.8774348686978221,-0.900719590434432,0.5096657149383798,-2.59830735168457,-10.065223194774985,7.358399288154748,-22.342918228040297,17.71277226327638
185,0.01666666753590107,-0.02725523280277848,0.017505699943751094,0.33878538013100623,1.6897078216552734,-2.2150854484558105,-9.054721041107177,-0.9810356518579755,-4.393556749651137,2.9988167532089007
202,0.01666666753590107,0.004521276816725731,0.0031235388480126856,0.45528351535499095,1.7106569400511682,-2.2273554397031665,-8.940697187042236,-1.860581736282143,-3.9296763413200817,3.013834204759643
219,0.01666666753590107,0.08499109019562602,0.0048820729531347746,0.3811304839074611,1.7784427745543419,-2.220472402191162,-9.018359103393554,-3.1381220898693076,-4.906609397364407,3.7956671760307854
236,0.01666666753590107,0.10671031618118286,-0.052848669873178,0.33349487250745297,1.774552196856588,-2.268655564471334,-9.07282660664022,-4.58790295229468,-9.311623362461416,3.2099336315857636
252,0.01666666753590107,0.11903276826813816,0.041128421463072294,0.0838075794994831,1.7552490921020507,-2.1604675769530237,-9.331400970458985,-7.880092552054907,-15.715293685789906,0.9582704179109115
269,0.01666666753590107,0.12005772740170359,0.01632715768367052,-0.0748281542301178,1.7121534622192383,-2.163161053820699,-9.502736026763916,-9.440455244359844,-19.38390269467235,-1.1400695630491409
285,0.01666666753590107,-0.1784226764783263,0.19439502937495706,0.03617138357758522,1.5456068092346191,-2.099415434619039,-9.34127705230713,-4.930098844806904,-19.098590325115286,-0.4530364691674552
302,0.01666666753590107,-0.3526433712221682,0.2316667754098773,0.19782558834552763,1.395071379852295,-2.0660462489806113,-9.17428148651123,-2.7778439118597094,-18.407482756589424,1.3807560378902815
319,0.01666666753590107,-0.44192762856706974,0.27466829726845027,0.4176952507168054,1.2698245593748987,-2.018760912322998,-8.962095364379882,-3.807255018844535,-16.015985933810548,4.407229507709033
335,0.01666666753590107,-0.5539250913709401,0.37965193578749895,0.5014245042830705,1.1239280418395996,-1.8924667747497557,-8.889670764160156,-4.836480856948124,-15.575069902129544,4.106073233711654
353,0.01666666753590107,-0.7983945036001503,0.41495033592283725,0.6003215163648128,0.8381202186584472,-1.8290202846251427,-8.80482624282837,-4.498544441157049,-15.517894388587367,1.7297608819530674
369,0.01666666753590107,-0.6302285788506269,0.37202085638716814,0.44827275981009,0.960523924664408,-1.8565536037169397,-8.968380143737793,-8.223197713500388,-20.607788924121305,-2.746676478016472
386,0.01666666753590107,-0.7461644040167331,0.2525816992752254,0.5085135857611894,0.790385823059082,-1.94573761555776,-8.924237050628662,-6.733620967319349,-13.180391918744734,-7.58116676170836
403,0.01666666753590107,-0.38595264336690305,-0.3480341238610446,0.9109159902781248,1.132607022857666,-2.529773183032125,-8.528595226287841,-4.910879973142957,-4.492168032680019,-4.713488786790058
420,0.01666666753590107,-0.2961471386268735,-0.6379730554975569,0.815369457668066,1.2243348739624023,-2.803759635516256,-8.627505682373046,-4.789050315804263,4.464262867939109,1.6082061397284662
436,0.01666666753590107,-0.41210400658100843,-0.7729853370554745,0.7548433850347995,1.1234789828978478,-2.928407759448141,-8.687959274291991,-4.6578914738329775,8.949628459092619,5.245477280203542
453,0.01666666753590107,-0.6321713834814727,-1.0776397533953188,0.5085550868153572,0.9036614891052246,-3.219004132080078,-8.937405159759521,-6.16811502810132,8.756482662195706,7.000344550163401
470,0.01666666753590107,-0.8534161335982382,-1.2106329502157867,0.3514531385242939,0.6735187083922326,-3.3337760280333457,-9.100061235046386,-10.84578886420477,7.1289561584610945,5.566381765525543
486,0.01666666753590107,-0.9328419908821582,-1.2999533017873763,0.3204910140275955,0.5985504150390625,-3.4097919307433067,-9.133280783081053,-16.671460405436452,4.762851417695386,3.9837492414317803
503,0.01666666753590107,-1.0758531622394918,-1.4076549670934677,0.26714345472157,0.4493617240905761,-3.4980781169615685,-9.191938723754882,-25.684958817231507,-0.2664604071175953,3.4980438173815953
519,0.01666666753590107,-1.0733433713756502,-1.320133043245971,0.2237684233754873,0.4355949184142053,-3.371783979388326,-9.246406811523437,-31.343857629498988,-3.0905957126336547,3.947994908674056
536,0.01666666753590107,-1.0251859280586242,-1.2439995055057107,0.24738193867504596,0.4722562774658203,-3.2184054355345664,-9.241019857788086,-31.70360369308356,-3.9486962837244515,5.0846527922327756
553,0.01666666753590107,-0.9404738009348511,-1.0622482691265642,0.3164566439449787,0.5412392127990723,-2.9444189830504355,-9.19313582458496,-24.52684901703707,-3.625246272276151,3.876306096919248
569,0.01666666753590107,-0.8675112944461405,-0.7895850280702114,0.47085868562757965,0.6042366439819336,-2.6207528461180627,-9.050231912994384,-17.80593262846077,-3.1074086501624643,1.9617400395412055
587,0.01666666753590107,-0.760579298338294,-0.7166958790786564,0.5750292541980743,0.7029974624633789,-2.5103202945433556,-8.954463846588133,-13.163332667518981,-3.2969158772224647,-0.6723905023225005
603,0.01666666753590107,-0.6563222205281257,-0.7339704006150365,0.6878630216956139,0.7959224143981933,-2.4886228419981897,-8.850615349578858,-10.085795422804743,-3.844226832821814,-1.5371825243657944
619,0.01666666753590107,-0.751613170941919,-0.7427882055819034,0.8747808470577001,0.6928221054077148,-2.476801471301168,-8.668656023406982,-5.709310730984053,-2.397662349165283,-1.7789458212182698
636,0.01666666753590107,-0.8256902145437895,-0.7178884498640894,1.018752095618844,0.6194996795654296,-2.4437315608702597,-8.526051387023925,0.31765966521856953,2.110867401671502,-4.107897747993694
653,0.01666666753590107,-1.0518633609734476,-0.8056539732091128,1.1631821938633917,0.41464580001831053,-2.5447369434081017,-8.375964870452881,9.097024795155141,8.778110456202551,-5.983172288397593
670,0.01666666753590107,-1.5080696902617812,-1.1923806696884334,1.1287363189041615,-0.01227028350830078,-2.956539775085449,-8.40125362548828,11.779779667163579,12.420413845270339,-5.126528682034124
686,0.01666666753590107,-1.6482405236266553,-1.4338435935780405,1.0142278961926698,-0.11896189498901366,-3.221847100421041,-8.505999948120117,8.003277575057027,12.268055376775804,-3.399029126304859
703,0.01666666753590107,-1.6003635046862066,-1.6520082055971026,0.7244546765118837,-0.04459215205088257,-3.4620156005859375,-8.787318643188476,-3.6197471162206445,10.954097735194601,-6.453228468398809
720,0.01666666753590107,-1.393417182904482,-1.8124097799554466,0.1423538764923811,0.15532383270263672,-3.6370914508543906,-9.367762908172606,-8.296308912149852,8.067647839116164,-8.992253962155376
736,0.01666666753590107,-1.322342389858514,-1.9063756192453205,-0.18760639214813707,0.2232593048095703,-3.729866765185445,-9.698462597003578,-7.521487130061728,6.192860376577453,-9.729503727392906
753,0.01666666753590107,-1.14516474500522,-2.0090214624665674,-0.8143740168899297,0.3413233741760254,-3.881449657794088,-10.325144297027586,-2.149266084855079,2.393027212039783,-8.527987221249392
770,0.01666666753590107,-0.8551844584450126,-1.8011625558845699,-1.2641706252664326,0.5924152732849121,-3.7186439449034627,-10.771962181854247,3.3164472300409393,1.199912052018796,-8.865220981329601
786,0.01666666753590107,-0.7952130970850586,-1.6891748838223517,-1.4643220262110233,0.64329191243276,-3.6323030475340783,-10.96828671798706,7.16470792989788,-0.804736996796575,-12.98443293768342
803,0.01666666753590107,-0.7859579236142337,-1.4260298510871827,-1.6538135014533997,0.6555621959410607,-3.3940799823485315,-11.152191333007812,13.779060560817289,-4.6633948987567155,-20.744879358499922
820,0.01666666753590107,-0.552013704791665,-1.407729201373458,-1.6286930887222288,0.8885480911254883,-3.4094925094053146,-11.120168885803222,20.541732457110818,-6.409779073767418,-28.205011753021072
836,0.01666666753590107,-0.4370512547023594,-1.430733937124908,-1.6031401297926902,1.0013745520994066,-3.474884142248332,-11.085901874542236,22.966791121923844,-8.706939031277372,-33.26294612588123
853,0.01666666753590107,-0.15045184275209902,-1.5126612558357417,-1.4914368276298045,1.2750618755064904,-3.6213795024596154,-10.96200193862915,27.57531612287009,-13.577820135980266,-34.254324178246485
870,0.01666666753590107,-0.11676029329150915,-1.4989349283002316,-1.1723398983091116,1.2925696212768554,-3.6736030261717736,-10.63040500869751,36.43942122204404,-14.296066607399528,-33.960762647719335
886,0.01666666753590107,-0.012334873177111148,-1.2349594360902905,-0.9784317756682633,1.3845967475891112,-3.499724276733398,-10.417171423339843,46.95589080786935,-11.247897468569054,-35.115218296707816
903,0.01666666753590107,0.17725757822170854,-0.8506893389828503,-0.633480858644843,1.579873674365133,-3.270179900304973,-10.032902056884765,57.862992572706034,-4.36818259688454,-38.86719147195756
920,0.01666666753590107,0.5681681362569332,-0.48180794966518875,-0.7806669775992632,1.9856908557616173,-3.0343513290405273,-10.142586420440674,61.64919865607588,-5.273767496858912,-40.990512869806935
936,0.01666666753590107,0.5966757072083652,-0.35182226409763095,-0.9415841002643108,2.026242792510986,-3.0362963256284594,-10.264690705108642,57.978532052705965,-7.395431720060911,-41.14404869215965
953,0.01666666753590107,0.8416334874764084,-0.23777532141804694,-1.0419997002154588,2.286761860656738,-3.067121964263916,-10.319757343292236,42.60179547614796,-6.086967258119691,-35.69552482897044
970,0.01666666753590107,0.9510881339296698,0.1909413817897439,-1.4727730436921118,2.404077595873922,-2.7169699714660642,-10.724975974273681,33.61177754717212,-8.50844519626034,-30.34175276504223
986,0.01666666753590107,0.8442996379457414,0.2139931715533137,-1.5646476097911595,2.2924480895996093,-2.7593177055910227,-10.796802024078369,29.71723100318753,-12.71387463050723,-24.32337768166239
1003,0.01666666753590107,0.580253710848093,0.20672756446450946,-1.2771253839075565,2.0078372211180624,-2.8476035995483397,-10.486004136547445,27.60979491780031,-12.898528794718525,-19.157551933125422
1020,0.01666666753590107,0.6887715148426592,0.6100862467929721,-0.8307552428483963,2.1019592738829553,-2.500892979376018,-10.02287633743286,24.743741674130824,-10.945064810017259,-14.880431125802785
1036,0.01666666753590107,0.753739369315654,0.7516837519600987,-0.7080033079266548,2.1531351882383225,-2.4091651282712814,-9.885209157451987,20.090758971876973,-8.699960285492912,-9.655525948492498
1053,0.01666666753590107,0.702278354408592,0.9591273557394743,-0.38445465989410876,2.089988265582174,-2.250250285339355,-9.546580429187417,11.8837633208615,-1.7965452977186886,-2.1116810479563797
1070,0.01666666753590107,0.4160578587733209,1.0834335343658923,-0.056498132291436194,1.8068740653991697,-2.1472996139526366,-9.210643424224854,5.755055922950214,5.003808538782389,3.9194622203031506
1086,0.01666666753590107,0.3202377699188888,1.3006453757047653,0.005114566534757614,1.7269674388609826,-1.9385548644468187,-9.143605777740477,-1.0856107572493368,13.103850257584632,10.536698044825952
1103,0.01666666753590107,0.36841786345914,1.6618328495189547,-0.145071318757534,1.8023847911559043,-1.566107160949707,-9.293542656707762,-11.27750804616835,12.810625113874107,22.836117650270456
1120,0.01666666753590107,0.6178928288906812,2.026276694780588,-0.5114215821623802,2.0522797355651856,-1.1794435928344726,-9.667636666107176,-14.69691589563559,7.11129158172015,33.40440958887594
1138,0.01666666753590107,0.6519561342731118,2.1913345705121756,-0.4952116211175918,2.0663455241881308,-0.9995791931152344,-9.65970587310791,-8.47663700529559,2.879446817745057,40.78612628908347
1153,0.01666666753590107,0.6950050024047494,2.7168285171687603,-0.07466916427612304,2.069637697601318,-0.4878188805177808,-9.240421307373046,4.305293630101647,3.695595086293167,44.83697146694005
1170,0.01666666753590107,0.61647770139575,3.064674278850853,0.5530348645329475,1.9668365176878868,-0.17836831594258545,-8.602815477752685,13.73826213335751,7.682885353922775,44.74747549824537
