ts,alpha,beta,gamma
1698923822828.0,276,759,336
1698923822910.0,253,757,316
1698923822988.0,233,746,318
1698923823068.0,232,761,321
1698923823150.0,231,749,330
1698923823228.0,256,750,321
1698923823310.0,249,742,322
1698923823387.0,271,745,313
1698923823468.0,274,752,328
1698923823548.0,289,750,333
1698923823627.0,256,747,337
1698923823710.0,254,759,345
1698923823787.0,252,764,352
1698923823867.0,238,773,352
1698923823948.0,246,782,360
1698923824027.0,237,768,350
1698923824107.0,254,777,350
1698923824188.0,264,773,345
1698923824267.0,280,784,331
1698923824350.0,298,775,330
1698923824428.0,305,783,336
1698923824508.0,334,779,341
1698923824587.0,342,784,352
1698923824668.0,356,786,361
1698923824750.0,360,785,373
1698923824827.0,355,775,363
1698923824907.0,364,767,350
1698923824987.0,366,766,328
1698923825067.0,335,765,327
1698923825147.0,313,771,313
1698923825227.0,283,773,292
1698923825307.0,261,787,308
1698923825388.0,264,788,290
1698923825467.0,295,753,282
1698923825547.0,312,750,284
1698923825629.0,345,736,291
1698923825707.0,363,735,299
1698923825790.0,347,739,307
1698923825868.0,363,758,317
1698923825947.0,364,750,318
1698923826027.0,348,764,313
1698923826107.0,330,763,299
1698923826190.0,322,762,290
1698923826267.0,283,761,277
1698923826347.0,237,772,270
1698923826427.0,218,782,260
1698923826507.0,201,783,263
1698923826587.0,226,767,259
1698923826667.0,263,747,261
1698923826747.0,305,761,261
1698923826827.0,345,730,282
1698923826907.0,367,756,279
1698923826987.0,367,757,298
1698923827069.0,375,760,299
1698923827147.0,382,759,298
1698923827229.0,373,762,286
1698923827307.0,353,773,294
1698923827388.0,331,765,274
1698923827467.0,292,775,261
1698923827547.0,255,787,260
1698923827630.0,257,810,257
1698923827707.0,274,781,260
1698923827787.0,305,781,259
1698923827867.0,342,761,263
1698923827947.0,370,754,259
1698923828027.0,391,756,274
1698923828107.0,413,771,286
1698923828187.0,427,770,297
1698923828270.0,401,766,281
1698923828347.0,385,779,284
1698923828427.0,353,805,286
1698923828509.0,328,807,256
1698923828587.0,275,823,248
1698923828669.0,221,815,240
1698923828747.0,220,836,249
1698923828827.0,235,832,236
1698923828907.0,288,817,240
1698923828987.0,329,801,233
1698923829067.0,376,795,252
1698923829147.0,397,813,283
1698923829227.0,407,819,305
1698923829307.0,411,824,309
1698923829386.0,405,823,308
1698923829467.0,399,841,291
1698923829547.0,356,837,292
1698923829626.0,333,847,270
1698923829710.0,280,840,265
1698923829786.0,231,850,265
1698923829866.0,206,857,263
1698923829970.0,226,848,272
1698923830026.0,273,830,261
1698923830120.0,322,805,258
1698923830187.0,363,791,269
1698923830270.0,378,800,285
1698923830346.0,402,816,317
1698923830450.0,389,811,332
1698923830506.0,407,807,333
1698923830784.0,358,805,295
1698923830930.0,317,815,284
1698923830936.0,272,831,293
1698923831150.0,294,839,292
1698923831226.0,328,823,289
1698923831306.0,351,820,299
1698923831386.0,367,827,302
1698923831466.0,384,826,318
1698923831549.0,399,817,342
1698923831627.0,384,810,351
1698923831706.0,390,817,349
1698923831786.0,366,822,333
1698923831866.0,354,826,315
1698923831946.0,314,828,297
1698923832026.0,272,837,296
1698923832106.0,237,834,303
1698923832194.0,216,837,289
1698923832700.0,229,836,285
1698923832706.0,381,780,308
1698923833303.0,396,769,328
