timestamp,accGx,accGy,accGz
1698923824.347,137,802,662
1698923824.425,39,795,660
1698923824.506,18,689,656
1698923824.585,81,619,612
1698923824.665,188,651,614
1698923824.745,263,788,764
1698923824.825,216,897,923
1698923824.905,122,883,949
1698923824.985,295,684,1255
1698923825.065,397,552,1276
1698923825.145,241,571,870
1698923825.224,189,559,713
1698923825.305,132,590,625
1698923825.386,38,736,613
1698923825.464,-70,877,705
1698923825.544,-155,895,802
1698923825.626,-123,839,781
1698923825.704,-8,723,680
1698923825.787,111,665,644
1698923825.865,197,728,714
1698923825.944,172,845,849
1698923826.024,90,915,938
1698923826.105,59,868,963
1698923826.184,41,777,931
1698923826.264,33,684,810
1698923826.345,83,633,698
1698923826.424,133,661,636
1698923826.504,121,687,589
1698923826.585,54,691,600
1698923826.664,-75,809,733
1698923826.744,-8,768,712
1698923826.824,80,700,647
1698923826.904,132,675,625
1698923826.984,162,750,702
1698923827.067,146,850,858
1698923827.144,63,865,934
1698923827.224,23,768,914
1698923827.304,45,667,789
1698923827.385,69,625,675
1698923827.464,121,611,637
1698923827.544,120,650,628
1698923827.624,54,711,664
1698923827.704,-19,782,730
1698923827.784,-102,839,775
1698923827.864,-119,799,743
1698923827.944,17,725,611
1698923828.024,144,702,535
1698923828.104,187,740,616
1698923828.184,185,816,772
1698923828.267,121,863,905
1698923828.344,94,740,991
1698923828.424,61,610,967
1698923828.506,32,603,831
1698923828.584,101,576,698
1698923828.664,203,567,606
1698923828.744,225,603,580
1698923828.824,-30,811,700
1698923828.904,-120,886,777
1698923828.984,-93,827,745
1698923829.064,-5,714,656
1698923829.144,123,684,645
1698923829.224,226,766,700
1698923829.304,229,878,831
1698923829.384,126,957,901
1698923829.464,18,922,879
1698923829.545,-3,808,857
1698923829.624,36,711,773
1698923829.707,111,659,633
1698923829.784,181,644,559
1698923829.864,152,639,541
1698923829.945,31,697,582
1698923830.024,-100,804,654
1698923830.104,-162,874,694
1698923830.184,-99,840,695
1698923830.264,10,739,653
1698923830.344,101,704,649
1698923830.424,143,796,728
1698923830.504,108,937,874
1698923830.781,-80,807,797
1698923830.824,-46,705,646
1698923830.933,32,658,587
1698923831.147,-110,925,597
1698923831.223,-203,930,583
1698923831.303,-157,843,576
1698923831.384,-24,761,530
1698923831.463,80,757,523
1698923831.543,109,863,628
1698923831.624,58,987,765
1698923831.703,1,1019,811
1698923831.783,-34,959,804
1698923831.864,-36,862,728
1698923831.943,-4,778,613
1698923832.023,94,745,588
1698923832.104,174,739,567
1698923832.191,167,752,559
1698923832.263,85,785,568
1698923832.703,83,815,594
1698923832.743,130,881,666
1698923833.306,115,694,564
