ms,hr,conf
1698411890508.0,0,23
1698411891339.0,0,36
1698411892237.0,0,27
1698411893135.0,0,23
1698411893999.0,0,67
1698411894863.0,0,43
1698411895760.0,0,2
1698411896658.0,0,0
1698411897589.0,0,32
1698411898420.0,0,12
1698411899284.0,0,11
1698411900215.0,0,13
1698411901084.0,89,13
1698411901976.0,89,0
1698411903705.0,89,54
1698411904604.0,89,50
1698411905499.0,91,98
1698411907228.0,91,0
1698411910718.0,97,47
1698411911582.0,102,77
1698411912480.0,108,75
1698411913377.0,114,73
1698411914241.0,114,7
1698411915139.0,114,30
1698411916003.0,114,50
1698411916870.0,114,48
1698411917765.0,105,95
1698411918629.0,105,73
1698411919526.0,105,72
1698411921288.0,105,68
