isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance,ts
False,0,0,0,38,1698411892670.0
False,0,0,0,38,1698411893663.0
False,0,0,0,38,1698411894648.0
False,0,0,0,38,1698411895638.0
False,0,0,0,38,1698411896632.0
False,0,0,0,38,1698411897624.0
False,0,0,0,38,1698411898608.0
False,0,0,0,38,1698411899593.0
False,0,9,0,38,1698411901575.0
False,0,9,0,38,1698411902562.0
False,0,0,0,38,1698411903564.0
False,0,0,0,38,1698411904549.0
False,0,0,0,38,1698411905531.0
False,0,0,0,38,1698411906529.0
False,0,0,0,38,1698411907523.0
False,0,0,0,38,1698411908505.0
False,0,9,0,38,1698411909501.0
False,0,9,0,38,1698411910491.0
False,0,0,0,38,1698411911476.0
False,0,0,0,38,1698411912460.0
False,0,0,0,38,1698411913461.0
False,0,0,0,38,1698411914450.0
False,0,0,0,38,1698411915435.0
False,0,0,0,38,1698411916425.0
False,0,0,0,38,1698411917424.0
