timestamp,isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance
1698419027.352,False,0.0,0,0,636
1698419027.844,False,0.0,0,0,636
1698419029.332,False,0.0,0,0,636
1698419029.827,False,0.0,0,0,636
1698419031.796,False,0.0,0,0,636
1698419033.282,False,0.0,0,0,636
1698419035.266,False,0.0,0,0,636
1698419035.27,False,0.0,0,0,636
1698419036.75,False,1.21875,15,138,653
1698419038.235,False,1.44140625,45,206,681
1698419039.231,False,1.46875,61,227,697
1698419040.225,False,1.4140625,59,214,716
1698419041.208,False,1.4140625,59,214,716
1698419042.205,False,0.0,0,0,716
1698419043.676,False,0.0,0,0,716
1698419044.176,False,0.0,0,0,716
1698419045.165,False,0.0,0,0,716
1698419046.154,False,0.0,0,0,716
