timestamp,accGGx,accGGy,accGGz
1698673088.209,0.655,0.739,-0.027
1698673088.289,0.656,0.728,-0.157
1698673088.369,0.69,0.74,-0.191
1698673088.449,0.721,0.763,-0.198
1698673088.529,0.734,0.749,-0.184
1698673088.609,0.76,0.769,-0.154
1698673088.689,0.802,0.854,-0.039
1698673088.769,0.824,0.972,0.196
1698673088.849,0.83,1.007,0.364
1698673088.929,0.816,0.996,0.362
1698673089.009,0.78,1.011,0.311
1698673089.089,0.728,0.943,0.229
1698673089.169,0.668,0.829,0.135
1698673089.25,0.589,0.662,0.057
1698673089.329,0.497,0.513,-0.013
1698673089.409,0.448,0.478,-0.076
1698673089.489,0.487,0.53,-0.156
1698673089.569,0.57,0.628,-0.221
1698673089.649,0.613,0.663,-0.231
1698673089.729,0.618,0.632,-0.211
1698673089.809,0.591,0.602,-0.167
1698673089.889,0.556,0.584,-0.109
1698673089.969,0.544,0.59,-0.06
1698673090.048,0.578,0.719,0.064
1698673090.13,0.588,0.809,0.134
1698673090.208,0.615,0.877,0.192
1698673090.288,0.697,0.942,0.25
1698673090.369,0.75,1.002,0.302
1698673090.448,0.788,1.069,0.32
1698673090.528,0.802,1.062,0.261
1698673090.609,0.783,0.978,0.133
1698673090.688,0.66,0.82,-0.005
1698673090.768,0.576,0.702,-0.116
1698673090.849,0.631,0.686,-0.18
1698673090.928,0.685,0.654,-0.211
1698673091.008,0.709,0.661,-0.231
1698673091.089,0.706,0.68,-0.23
1698673091.168,0.738,0.743,-0.179
1698673091.248,0.792,0.848,-0.002
1698673091.33,0.806,0.995,0.231
1698673091.408,0.837,1.117,0.353
1698673091.488,0.853,1.093,0.346
1698673091.568,0.813,1.014,0.304
1698673091.648,0.748,0.905,0.23
1698673091.728,0.648,0.756,0.136
1698673091.808,0.531,0.608,0.065
1698673091.888,0.441,0.472,-0.098
1698673091.969,0.555,0.516,-0.167
1698673092.049,0.666,0.591,-0.209
1698673092.131,0.66,0.619,-0.251
1698673092.208,0.632,0.621,-0.249
1698673092.289,0.603,0.627,-0.213
1698673092.37,0.557,0.585,-0.14
1698673092.448,0.534,0.576,-0.065
1698673092.528,0.538,0.636,-0.021
1698673092.608,0.568,0.7,0.039
1698673092.688,0.601,0.742,0.106
1698673092.768,0.64,0.793,0.149
1698673092.848,0.686,0.856,0.196
1698673092.928,0.728,0.891,0.244
1698673093.008,0.8,0.985,0.305
1698673093.088,0.856,1.03,0.295
1698673093.168,0.851,0.961,0.163
1698673093.248,0.786,0.87,0.019
1698673093.328,0.669,0.729,-0.093
1698673093.408,0.619,0.633,-0.195
1698673093.488,0.661,0.628,-0.268
1698673093.568,0.685,0.608,-0.317
1698673093.648,0.685,0.606,-0.343
1698673093.728,0.646,0.593,-0.291
1698673093.808,0.759,0.721,-0.276
1698673093.888,0.873,0.939,-0.087
1698673093.968,0.859,1.036,0.198
1698673094.048,0.849,1.095,0.309
1698673094.128,0.844,1.116,0.315
1698673094.209,0.779,1.02,0.276
1698673094.288,0.7,0.906,0.219
1698673094.37,0.607,0.767,0.149
1698673094.448,0.53,0.658,0.086
1698673094.528,0.477,0.558,0.017
1698673094.61,0.457,0.488,-0.075
1698673094.688,0.518,0.539,-0.186
1698673094.768,0.599,0.593,-0.281
1698673094.848,0.636,0.585,-0.312
1698673094.928,0.635,0.588,-0.286
1698673095.008,0.586,0.569,-0.212
1698673095.088,0.551,0.516,-0.115
