timestamp,isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance
1698674840.721,False,0.0,0,0,4086
1698674841.233,False,0.0,0,0,4086
1698674842.208,False,0.0,0,0,4086
1698674843.693,False,0.0,0,0,4086
1698674844.189,False,0.0,0,0,4086
1698674845.18,False,0.0,0,0,4086
1698674847.158,False,0.0,0,0,4086
1698674847.158,False,0.0,0,0,4086
1698674848.15,False,0.0,0,0,4086
1698674850.638,False,1.359375,16,152,4107
1698674850.639,False,1.69140625,34,184,4118
1698674851.122,False,2.08203125,53,216,4134
1698674852.115,False,2.25,80,254,4168
1698674853.105,False,2.25,83,222,4186
1698674854.091,False,2.25,83,222,4186
1698674855.076,False,0.0,0,0,4186
1698674856.066,False,0.0,0,0,4186
